"",BBFN1.M.DE.N.1.A.LV.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LV.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2001-11,0.012,
2001-12,0.054,
2002-01,0.051,
2002-02,0.054,
2002-03,0.017,
2002-04,0.014,
2002-05,0.013,
2002-06,0.014,
2002-07,0.013,
2002-08,0.014,
2002-09,0.012,
2002-10,0.013,
2002-11,0.013,
2002-12,0.013,
2003-01,0.013,
2003-02,0.013,
2003-03,0.013,
2003-04,0.015,
2003-05,0.017,
2003-06,0.017,
2003-07,0.017,
2003-08,0.015,
2003-09,0.017,
2003-10,0.015,
2003-11,0.014,
2003-12,0.013,
2004-01,0.020,
2004-02,0.020,
2004-03,0.020,
2004-04,0.019,
2004-05,0.020,
2004-06,0.031,
2004-07,0.017,
2004-08,0.014,
2004-09,0.013,
2004-10,0.014,
2004-11,0.014,
2004-12,0.018,
2005-01,.,No value available
2005-02,0.017,
2005-03,0.013,
2005-04,0.012,
2005-05,0.015,
2005-06,.,No value available
2005-07,0.014,
2005-08,0.014,
2005-09,0.006,
2005-10,0.012,
2005-11,0.011,
2005-12,0.010,
2006-01,0.013,
2006-02,0.016,
2006-03,0.014,
2006-04,0.012,
2006-05,0.015,
2006-06,0.016,
2006-07,0.016,
2006-08,0.017,
2006-09,0.014,
2006-10,0.015,
2006-11,0.012,
2006-12,0.013,
2007-01,0.019,
2007-02,0.018,
2007-03,0.018,
2007-04,0.018,
2007-05,0.022,
2007-06,0.020,
2007-07,0.023,
2007-08,0.019,
2007-09,0.016,
2007-10,0.018,
2007-11,0.019,
2007-12,0.014,
2008-01,0.015,
2008-02,0.015,
2008-03,0.015,
2008-04,0.015,
2008-05,0.015,
2008-06,0.017,
2008-07,0.019,
2008-08,0.018,
2008-09,0.020,
2008-10,0.019,
2008-11,0.033,
2008-12,0.033,
2009-01,0.037,
2009-02,0.038,
2009-03,0.034,
2009-04,0.036,
2009-05,0.037,
2009-06,0.040,
2009-07,0.034,
2009-08,0.031,
2009-09,0.028,
2009-10,0.028,
2009-11,0.026,
2009-12,0.025,
2010-01,0.028,
2010-02,0.030,
2010-03,0.031,
2010-04,0.032,
2010-05,0.034,
2010-06,0.034,
2010-07,0.036,
2010-08,0.033,
2010-09,0.031,
2010-10,0.032,
2010-11,0.032,
2010-12,0.020,
2011-01,0.027,
2011-02,0.038,
2011-03,0.034,
2011-04,0.035,
2011-05,0.039,
2011-06,0.039,
2011-07,0.041,
2011-08,0.040,
2011-09,0.038,
2011-10,0.040,
2011-11,0.042,
2011-12,0.035,
2012-01,0.028,
2012-02,0.027,
2012-03,0.034,
2012-04,0.036,
2012-05,0.036,
2012-06,0.030,
2012-07,0.034,
2012-08,0.034,
2012-09,0.032,
2012-10,0.029,
2012-11,0.032,
2012-12,0.028,
2013-01,0.029,
2013-02,0.028,
2013-03,0.038,
2013-04,0.040,
2013-05,0.043,
2013-06,0.038,
2013-07,0.040,
2013-08,0.041,
2013-09,0.034,
2013-10,0.043,
2013-11,0.043,
2013-12,0.037,
2014-01,0.036,
2014-02,0.087,
2014-03,0.085,
2014-04,0.081,
2014-05,0.075,
2014-06,0.079,
2014-07,0.080,
2014-08,0.078,
2014-09,0.071,
2014-10,0.073,
2014-11,0.066,
2014-12,0.067,
