"",BBK01.OEAH25J,BBK01.OEAH25J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:04,
2002-01,5.311,
2002-04,5.180,
2002-07,5.188,
2002-10,5.370,
2003-01,5.447,
2003-04,5.433,
2003-07,5.456,
2003-10,5.548,
2004-01,5.582,
2004-04,5.589,
2004-07,6.062,
2004-10,5.841,
2005-01,6.131,
2005-04,6.176,
2005-07,6.158,
2005-10,6.300,
2006-01,6.313,
2006-04,6.294,
2006-07,6.251,
2006-10,6.254,
2007-01,6.145,
2007-04,6.105,
2007-07,5.990,
2007-10,6.050,
2008-01,5.878,
2008-04,5.683,
2008-07,5.477,
2008-10,5.681,
2009-01,5.802,
2009-04,5.746,
2009-07,5.787,
2009-10,5.776,
2010-01,5.699,
2010-04,5.636,
2010-07,5.571,
2010-10,5.604,
2011-01,5.602,
2011-04,5.564,
2011-07,5.513,
2011-10,5.550,
2012-01,5.614,
2012-04,5.627,
2012-07,5.584,
2012-10,5.619,
2013-01,5.584,
2013-04,5.545,
2013-07,5.541,
2013-10,5.614,
2014-01,5.409,
2014-04,5.388,
2014-07,5.390,
