"",BBSF2.M.1.S.I1250.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:35,
1993-04,591,
1993-05,598,
1993-06,408,
1993-07,889,
1993-08,1538,
1993-09,456,
1993-10,700,
1993-11,398,
1993-12,2784,
1994-01,1936,
1994-02,1143,
1994-03,610,
1994-04,432,
1994-05,438,
1994-06,348,
1994-07,371,
1994-08,403,
1994-09,271,
1994-10,4,
1994-11,118,
1994-12,1919,
1995-01,897,
1995-02,811,
1995-03,388,
1995-04,239,
1995-05,363,
1995-06,661,
1995-07,574,
1995-08,35,
1995-09,503,
1995-10,390,
1995-11,361,
1995-12,3422,
1996-01,2647,
1996-02,1806,
1996-03,1156,
1996-04,557,
1996-05,677,
1996-06,683,
1996-07,865,
1996-08,665,
1996-09,369,
1996-10,1554,
1996-11,964,
1996-12,4097,
1997-01,3287,
1997-02,1977,
1997-03,1590,
1997-04,1408,
1997-05,722,
1997-06,1952,
1997-07,2011,
1997-08,2002,
1997-09,1046,
1997-10,1719,
1997-11,879,
1997-12,5949,
1998-01,3793,
1998-02,1911,
1998-03,2078,
1998-04,1673,
1998-05,1933,
1998-06,1613,
1998-07,2383,
1998-08,3016,
1998-09,1118,
1998-10,1833,
1998-11,1033,
1998-12,7803,
1999-01,5117,
1999-02,1269,
1999-03,1932,
1999-04,1408,
1999-05,1366,
1999-06,1142,
1999-07,1217,
1999-08,1173,
1999-09,933,
1999-10,1574,
1999-11,906,
1999-12,7632,
2000-01,3440,
2000-02,-2950,
2000-03,1389,
2000-04,5535,
2000-05,1675,
2000-06,811,
2000-07,1971,
2000-08,1209,
2000-09,1780,
2000-10,1090,
2000-11,-880,
2000-12,10135,
2001-01,5418,
2001-02,388,
2001-03,1592,
2001-04,766,
2001-05,-76,
2001-06,170,
2001-07,2966,
2001-08,355,
2001-09,168,
2001-10,2783,
2001-11,783,
2001-12,9810,
2002-01,3553,
2002-02,1326,
2002-03,2363,
2002-04,4698,
2002-05,1047,
2002-06,2729,
2002-07,334,
2002-08,1441,
2002-09,759,
2002-10,2247,
2002-11,201,
2002-12,4486,
2003-01,2144,
2003-02,-552,
2003-03,807,
2003-04,411,
2003-05,1289,
2003-06,-49,
2003-07,-1247,
2003-08,328,
2003-09,2353,
2003-10,1519,
2003-11,1721,
2003-12,2508,
2004-01,1808,
2004-02,-682,
2004-03,-86,
2004-04,1321,
2004-05,-4351,
2004-06,285,
2004-07,-2574,
2004-08,-1897,
2004-09,-2889,
2004-10,-713,
2004-11,-1243,
2004-12,2968,
2005-01,2352,
2005-02,1034,
2005-03,2024,
2005-04,-517,
2005-05,-600,
2005-06,2016,
2005-07,1001,
2005-08,1017,
2005-09,719,
2005-10,1198,
2005-11,436,
2005-12,2123,
2006-01,2113,
2006-02,1941,
2006-03,-239,
2006-04,372,
2006-05,153,
2006-06,-1454,
2006-07,480,
2006-08,-115,
2006-09,1553,
2006-10,310,
2006-11,-1180,
2006-12,2344,
2007-01,279,
2007-02,1283,
2007-03,74,
2007-04,1316,
2007-05,-2096,
2007-06,863,
2007-07,705,
2007-08,1429,
2007-09,-440,
2007-10,89,
2007-11,-4599,
2007-12,11566,
2008-01,-2711,
2008-02,1215,
2008-03,3021,
2008-04,1017,
2008-05,-88,
2008-06,1569,
2008-07,859,
2008-08,2115,
2008-09,693,
2008-10,-1708,
2008-11,1001,
2008-12,1317,
2009-01,1787,
2009-02,855,
2009-03,-801,
2009-04,-1785,
2009-05,782,
2009-06,940,
2009-07,744,
2009-08,704,
2009-09,1619,
2009-10,3156,
2009-11,1201,
2009-12,2220,
2010-01,5450,
2010-02,1475,
2010-03,2438,
2010-04,3801,
2010-05,1658,
2010-06,2136,
2010-07,263,
2010-08,2099,
2010-09,3158,
2010-10,3182,
2010-11,2115,
2010-12,3266,
2011-01,3406,
2011-02,2191,
2011-03,1749,
2011-04,2006,
2011-05,123,
2011-06,1157,
2011-07,1847,
2011-08,402,
2011-09,-1079,
2011-10,1318,
2011-11,3858,
2011-12,3630,
2012-01,-2059,
2012-02,9481,
2012-03,3202,
2012-04,604,
2012-05,1185,
2012-06,3015,
2012-07,9434,
2012-08,1854,
2012-09,817,
2012-10,3340,
2012-11,1786,
2012-12,2489,
2013-01,5351,
2013-02,3673,
2013-03,4615,
2013-04,2112,
2013-05,2783,
2013-06,1775,
2013-07,2409,
2013-08,1122,
2013-09,1823,
2013-10,1864,
2013-11,5320,
2013-12,2091,
2014-01,1582,
2014-02,2851,
2014-03,853,
2014-04,1643,
2014-05,2161,
2014-06,1386,
2014-07,4382,
2014-08,2359,
2014-09,1741,
2014-10,2942,
2014-11,5332,
