"",BBK01.OELB15T,BBK01.OELB15T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:34,
2002-01,0.038,
2002-04,0.038,
2002-07,0.037,
2002-10,0.035,
2003-01,0.035,
2003-04,0.035,
2003-07,0.035,
2003-10,0.034,
2004-01,0.033,
2004-04,0.031,
2004-07,0.030,
2004-10,0.029,
2005-01,0.028,
2005-04,0.029,
2005-07,0.028,
2005-10,0.028,
2006-01,0.026,
2006-04,0.024,
2006-07,0.022,
2006-10,0.019,
2007-01,0.017,
2007-04,0.017,
2007-07,0.018,
2007-10,0.018,
2008-01,0.017,
2008-04,0.017,
2008-07,0.018,
2008-10,0.016,
2009-01,0.016,
2009-04,0.016,
2009-07,0.018,
2009-10,0.019,
2010-01,0.021,
2010-04,0.019,
2010-07,0.020,
2010-10,0.019,
2011-01,0.019,
2011-04,0.019,
2011-07,0.021,
2011-10,0.023,
2012-01,0.024,
2012-04,0.033,
2012-07,0.033,
2012-10,0.035,
2013-01,0.034,
2013-04,0.036,
2013-07,0.040,
2013-10,0.038,
2014-01,0.039,
2014-04,0.043,
2014-07,0.046,
