"",BBK01.OEYM01N,BBK01.OEYM01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:33,
2002-01,5.134,
2002-04,4.665,
2002-07,3.530,
2002-10,2.901,
2003-01,4.521,
2003-04,5.051,
2003-07,4.642,
2003-10,4.340,
2004-01,4.071,
2004-04,5.566,
2004-07,4.405,
2004-10,4.114,
2005-01,4.253,
2005-04,4.539,
2005-07,4.368,
2005-10,4.996,
2006-01,4.960,
2006-04,8.498,
2006-07,6.853,
2006-10,8.865,
2007-01,8.665,
2007-04,9.125,
2007-07,9.173,
2007-10,10.803,
2008-01,11.198,
2008-04,10.777,
2008-07,10.545,
2008-10,11.245,
2009-01,10.448,
2009-04,14.056,
2009-07,10.606,
2009-10,9.484,
2010-01,12.612,
2010-04,17.173,
2010-07,15.881,
2010-10,13.110,
2011-01,17.852,
2011-04,20.780,
2011-07,20.876,
2011-10,22.075,
2012-01,31.784,
2012-04,43.259,
2012-07,39.830,
2012-10,6.963,
2013-01,8.368,
2013-04,8.518,
2013-07,7.541,
2013-10,8.128,
2014-01,6.748,
2014-04,6.394,
2014-07,6.945,
