"",BBK01.OELL03I,BBK01.OELL03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:52,
2002-01,0.821,
2002-04,0.880,
2002-07,0.714,
2002-10,0.685,
2003-01,0.679,
2003-04,0.863,
2003-07,0.637,
2003-10,0.701,
2004-01,0.628,
2004-04,0.566,
2004-07,0.550,
2004-10,0.957,
2005-01,0.659,
2005-04,0.593,
2005-07,0.585,
2005-10,0.611,
2006-01,0.615,
2006-04,0.581,
2006-07,0.604,
2006-10,0.581,
2007-01,0.601,
2007-04,0.668,
2007-07,0.754,
2007-10,0.856,
2008-01,0.799,
2008-04,0.877,
2008-07,0.772,
2008-10,0.933,
2009-01,1.485,
2009-04,0.809,
2009-07,0.694,
2009-10,0.577,
2010-01,0.425,
2010-04,0.413,
2010-07,0.373,
2010-10,0.379,
2011-01,0.342,
2011-04,0.357,
2011-07,0.385,
2011-10,0.373,
2012-01,0.357,
2012-04,0.339,
2012-07,0.319,
2012-10,0.294,
2013-01,0.280,
2013-04,0.293,
2013-07,0.297,
2013-10,0.256,
2014-01,0.244,
2014-04,0.257,
2014-07,0.262,
