"",BBDE1.M.DE.Y.AEP1.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEP1.A2P310000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, euro-area countries / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:09,
2010-01,93.9,
2010-02,96.2,
2010-03,97.7,
2010-04,100.2,
2010-05,98.3,
2010-06,98.5,
2010-07,100.9,
2010-08,101.3,
2010-09,102.4,
2010-10,102.6,
2010-11,101.0,
2010-12,103.5,
2011-01,109.5,
2011-02,108.1,
2011-03,108.3,
2011-04,106.1,
2011-05,104.0,
2011-06,105.9,
2011-07,104.4,
2011-08,108.8,
2011-09,103.8,
2011-10,101.3,
2011-11,99.2,
2011-12,93.7,
2012-01,103.6,
2012-02,99.2,
2012-03,99.3,
2012-04,98.6,
2012-05,100.2,
2012-06,99.3,
2012-07,100.0,
2012-08,99.1,
2012-09,93.0,
2012-10,98.3,
2012-11,97.6,
2012-12,100.3,
2013-01,95.9,
2013-02,96.5,
2013-03,105.6,
2013-04,97.7,
2013-05,99.3,
2013-06,98.8,
2013-07,96.0,
2013-08,97.6,
2013-09,98.1,
2013-10,102.4,
2013-11,99.9,
2013-12,98.8,
2014-01,101.3,
2014-02,101.2,
2014-03,100.0,
2014-04,104.0,
2014-05,98.8,
2014-06,100.3,
2014-07,100.7,
2014-08,99.5,
2014-09,100.3,
2014-10,103.8,
2014-11,99.5,
2014-12,106.7,Provisional value
