"",BBEX3.M.ERN.USD.CA.AA.A01,BBEX3.M.ERN.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Eritrea / USD 1 = ERN ... (buying),
unit,ERN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:15,
1997-11,7.0500,
1997-12,7.0500,
1998-01,7.0500,
1998-02,7.0500,
1998-03,7.0500,
1998-04,7.0500,
1998-05,7.3400,
1998-06,7.3631,
1998-07,7.4500,
1998-08,7.4517,
1998-09,7.4683,
1998-10,7.4814,
1998-11,7.5725,
1998-12,7.5969,
1999-01,7.6219,
1999-02,7.6455,
1999-03,7.7017,
1999-04,.,"No value available, comment"
1999-05,.,No value available
1999-06,.,No value available
1999-07,.,No value available
1999-08,.,No value available
1999-09,.,No value available
1999-10,.,No value available
1999-11,.,No value available
1999-12,.,No value available
2000-01,.,No value available
2000-02,.,No value available
2000-03,.,No value available
2000-04,.,No value available
2000-05,.,No value available
2000-06,.,No value available
2000-07,.,No value available
2000-08,.,No value available
2000-09,.,No value available
2000-10,.,No value available
2000-11,.,"No value available, comment"
2000-12,10.2000,
2001-01,10.2000,
2001-02,10.2000,
2001-03,10.2000,
2001-04,10.2000,
2001-05,10.2000,
2001-06,10.2000,
2001-07,10.2000,
2001-08,10.2000,
2001-09,13.5643,comment
2001-10,13.5800,
2001-11,13.5800,
2001-12,13.5900,
2002-01,13.6269,
2002-02,13.6577,
2002-03,13.6577,
2002-04,13.6885,
2002-05,13.7731,
2002-06,13.8808,
2002-07,13.9731,
2002-08,13.7792,
2002-09,13.7792,
2002-10,13.8885,
2002-11,13.9292,
2002-12,13.9417,
2003-01,14.0821,
2003-02,14.0821,
2003-03,13.5500,
2003-04,13.5500,
2003-05,13.5500,
2003-06,13.5500,
2003-07,13.5500,
2003-08,13.5500,
2003-09,13.5500,
2003-10,13.5500,
2003-11,13.5500,
2003-12,13.5500,
2004-01,13.5500,
2004-02,13.5500,
2004-03,13.5500,
2004-04,13.5500,
2004-05,13.5500,
2004-06,13.5500,
2004-07,13.5500,
2004-08,13.5500,
2004-09,13.5500,
2004-10,13.5500,
2004-11,13.5500,
2004-12,13.5500,
2005-01,15.0000,
2005-02,15.0000,
2005-03,15.0000,
2005-04,15.0000,
2005-05,15.0000,
2005-06,15.0000,
2005-07,15.0000,
2005-08,15.0000,
2005-09,15.0000,
2005-10,15.0000,
2005-11,15.0000,
2005-12,15.0000,
2006-01,15.0000,
2006-02,15.0000,
2006-03,15.0000,
2006-04,15.0000,
2006-05,15.0000,
2006-06,15.0000,
2006-07,15.0000,
2006-08,15.0000,
2006-09,15.0000,
2006-10,15.0000,
2006-11,15.0000,
2006-12,15.0000,
2007-01,15.0000,
2007-02,15.0000,
2007-03,15.0000,
2007-04,15.0000,
2007-05,15.0000,
2007-06,15.0000,
2007-07,15.0000,
2007-08,15.0000,
2007-09,15.0000,
2007-10,15.0000,
2007-11,15.0000,
2007-12,15.0000,
2008-01,15.0000,
2008-02,15.0000,
2008-03,15.0000,
2008-04,15.0000,
2008-05,15.0000,
2008-06,15.0000,
2008-07,15.0000,
2008-08,15.0000,
2008-09,15.0000,
2008-10,15.0000,
2008-11,15.0000,
2008-12,15.0000,
2009-01,15.0000,
2009-02,15.0000,
2009-03,15.0000,
2009-04,15.0000,
2009-05,15.0000,
2009-06,15.0000,
2009-07,15.0000,
2009-08,15.0000,
2009-09,15.0000,
2009-10,15.0000,
2009-11,15.0000,
2009-12,15.0000,
2010-01,15.0000,
2010-02,15.0000,
2010-03,15.0000,
2010-04,15.0000,
2010-05,15.0000,
2010-06,15.0000,
2010-07,15.0000,
2010-08,15.0000,
