"",BBK01.OEHK04U,BBK01.OEHK04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:48,
2002-01,0.062,
2002-04,0.059,
2002-07,0.055,
2002-10,0.052,
2003-01,0.055,
2003-04,0.054,
2003-07,0.054,
2003-10,0.052,
2004-01,0.050,
2004-04,0.046,
2004-07,0.044,
2004-10,0.044,
2005-01,0.044,
2005-04,0.045,
2005-07,0.044,
2005-10,0.044,
2006-01,0.041,
2006-04,0.042,
2006-07,0.047,
2006-10,0.048,
2007-01,0.049,
2007-04,0.049,
2007-07,0.057,
2007-10,0.058,
2008-01,0.066,
2008-04,0.073,
2008-07,0.079,
2008-10,0.093,
2009-01,0.061,
2009-04,0.052,
2009-07,0.045,
2009-10,0.036,
2010-01,0.032,
2010-04,0.028,
2010-07,0.029,
2010-10,0.028,
2011-01,0.044,
2011-04,0.042,
2011-07,0.043,
2011-10,0.045,
2012-01,0.036,
2012-04,0.045,
2012-07,0.059,
2012-10,0.068,
2013-01,0.068,
2013-04,0.070,
2013-07,0.070,
2013-10,0.070,
2014-01,0.070,
2014-04,0.069,
2014-07,0.069,
