"",BBK01.OEAA15L,BBK01.OEAA15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:21,
2002-01,307.209,
2002-04,305.838,
2002-07,306.961,
2002-10,303.242,
2003-01,304.244,
2003-04,305.516,
2003-07,308.982,
2003-10,309.906,
2004-01,307.714,
2004-04,306.845,
2004-07,310.104,
2004-10,309.247,
2005-01,307.985,
2005-04,304.230,
2005-07,303.076,
2005-10,301.562,
2006-01,297.098,
2006-04,289.513,
2006-07,291.765,
2006-10,287.867,
2007-01,280.915,
2007-04,277.024,
2007-07,285.341,
2007-10,290.408,
2008-01,288.784,
2008-04,281.306,
2008-07,299.070,
2008-10,297.878,
2009-01,290.451,
2009-04,292.251,
2009-07,274.818,
2009-10,271.871,
2010-01,269.045,
2010-04,269.035,
2010-07,270.666,
2010-10,269.909,
2011-01,267.198,
2011-04,265.558,
2011-07,264.066,
2011-10,261.181,
2012-01,259.704,
2012-04,260.824,
2012-07,259.307,
2012-10,254.294,
2013-01,253.237,
2013-04,253.957,
2013-07,254.833,
2013-10,254.926,
2014-01,252.797,
2014-04,252.356,
2014-07,253.219,
