"",BBK01.OEHJ09N,BBK01.OEHJ09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:05,
2002-01,0.083,
2002-04,0.076,
2002-07,0.083,
2002-10,0.079,
2003-01,0.088,
2003-04,0.101,
2003-07,0.094,
2003-10,0.097,
2004-01,0.083,
2004-04,0.085,
2004-07,0.084,
2004-10,0.095,
2005-01,0.094,
2005-04,0.047,
2005-07,0.070,
2005-10,0.070,
2006-01,0.075,
2006-04,0.074,
2006-07,0.081,
2006-10,0.080,
2007-01,0.081,
2007-04,0.075,
2007-07,0.071,
2007-10,0.064,
2008-01,0.064,
2008-04,0.064,
2008-07,0.044,
2008-10,0.043,
2009-01,0.047,
2009-04,0.080,
2009-07,0.086,
2009-10,0.169,
2010-01,0.171,
2010-04,0.139,
2010-07,0.122,
2010-10,0.067,
2011-01,0.071,
2011-04,0.089,
2011-07,0.102,
2011-10,0.101,
2012-01,0.085,
2012-04,0.083,
2012-07,0.074,
2012-10,0.078,
2013-01,0.080,
2013-04,0.111,
2013-07,0.119,
2013-10,0.123,
2014-01,0.148,
2014-04,0.172,
2014-07,0.174,
