"",BBDE1.Q.DE.Y.LCB1.A2P001000.A.L.I08.A1,BBDE1.Q.DE.Y.LCB1.A2P001000.A.L.I08.A1_FLAGS
"",Index of gross wages and salaries / Germany / Production sector including construction (B -F) / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:14,
1996-01,75.699,
1996-04,76.179,
1996-07,77.436,
1996-10,79.544,
1997-01,79.522,
1997-04,76.305,
1997-07,77.970,
1997-10,79.305,
1998-01,78.476,
1998-04,79.223,
1998-07,79.572,
1998-10,79.981,
1999-01,80.589,
1999-04,81.206,
1999-07,81.647,
1999-10,81.090,
2000-01,81.824,
2000-04,84.036,
2000-07,84.592,
2000-10,85.170,
2001-01,85.096,
2001-04,86.219,
2001-07,86.667,
2001-10,87.275,
2002-01,87.857,
2002-04,87.050,
2002-07,88.554,
2002-10,89.138,
2003-01,90.183,
2003-04,90.079,
2003-07,90.398,
2003-10,90.165,
2004-01,91.417,
2004-04,91.179,
2004-07,90.670,
2004-10,90.550,
2005-01,93.599,
2005-04,90.761,
2005-07,92.837,
2005-10,93.442,
2006-01,93.598,
2006-04,94.599,
2006-07,95.698,
2006-10,95.465,
2007-01,95.037,
2007-04,97.162,
2007-07,97.715,
2007-10,98.928,
2008-01,99.837,
2008-04,96.521,
2008-07,99.006,
2008-10,104.636,
2009-01,102.623,
2009-04,101.845,
2009-07,101.678,
2009-10,100.931,
2010-01,102.828,
2010-04,101.229,
2010-07,101.482,
2010-10,101.912,
2011-01,104.178,
2011-04,105.538,
2011-07,105.270,
2011-10,106.364,
2012-01,105.309,
2012-04,109.514,
2012-07,108.932,
2012-10,109.996,
2013-01,110.374,
2013-04,110.212,
2013-07,110.129,
2013-10,112.125,
2014-01,112.084,
2014-04,113.409,
2014-07,112.312,
