"",BBK01.OXA7C7,BBK01.OXA7C7_FLAGS
"",Other loans to other sectors traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:39,
2009-12,0.270,
2010-01,0.272,
2010-02,0.253,
2010-03,0.250,
2010-04,0.252,
2010-05,0.253,
2010-06,0.257,
2010-07,0.238,
2010-08,0.229,
2010-09,0.221,
2010-10,0.218,
2010-11,0.218,
2010-12,0.216,
2011-01,0.216,
2011-02,0.217,
2011-03,0.209,
2011-04,0.209,
2011-05,0.208,
2011-06,0.208,
2011-07,0.199,
2011-08,0.184,
2011-09,0.184,
2011-10,0.183,
2011-11,0.186,
2011-12,0.154,
2012-01,0.153,
2012-02,0.152,
2012-03,0.153,
2012-04,0.152,
2012-05,0.153,
2012-06,0.152,
2012-07,0.085,
2012-08,0.085,
2012-09,0.085,
2012-10,0.085,
2012-11,0.081,
2012-12,0.081,
2013-01,0.045,
2013-02,0.047,
2013-03,0.046,
2013-04,0.039,
2013-05,0.039,
2013-06,0.038,
2013-07,0.039,
2013-08,0.003,
2013-09,0.002,
2013-10,0.002,
2013-11,0.002,
2013-12,0.003,
2014-01,0.003,
2014-02,0.002,
2014-03,0.003,
2014-04,0.003,
2014-05,0.005,
2014-06,0.005,
2014-07,0.004,
2014-08,0.003,
2014-09,0.003,
2014-10,0.004,
2014-11,0.003,
2014-12,0.003,Provisional value
