"",BBSF2.M.1.S.I0002.IMM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.IMM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:23,
2009-09,36,
2009-10,97,
2009-11,171,
2009-12,370,
2010-01,157,
2010-02,46,
2010-03,46,
2010-04,55,
2010-05,40,
2010-06,9,
2010-07,145,
2010-08,6,
2010-09,8,
2010-10,99,
2010-11,246,
2010-12,153,
2011-01,45,
2011-02,185,
2011-03,92,
2011-04,63,
2011-05,144,
2011-06,82,
2011-07,104,
2011-08,117,
2011-09,240,
2011-10,459,
2011-11,155,
2011-12,374,
2012-01,165,
2012-02,27,
2012-03,161,
2012-04,11,
2012-05,98,
2012-06,86,
2012-07,126,
2012-08,211,
2012-09,170,
2012-10,222,
2012-11,102,
2012-12,441,
2013-01,229,
2013-02,357,
2013-03,127,
2013-04,527,
2013-05,64,
2013-06,246,
2013-07,174,
2013-08,168,
2013-09,99,
2013-10,36,
2013-11,181,
2013-12,433,
2014-01,108,
2014-02,186,
2014-03,236,
2014-04,86,
2014-05,178,
2014-06,417,
2014-07,233,
2014-08,418,
2014-09,203,
2014-10,135,
2014-11,568,
