"",BBK01.OEBB15M,BBK01.OEBB15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:30,
2002-01,0.572,
2002-04,0.552,
2002-07,0.529,
2002-10,0.540,
2003-01,0.519,
2003-04,0.502,
2003-07,0.497,
2003-10,0.495,
2004-01,0.494,
2004-04,0.479,
2004-07,0.478,
2004-10,0.468,
2005-01,0.457,
2005-04,1.869,
2005-07,1.759,
2005-10,1.832,
2006-01,1.881,
2006-04,1.986,
2006-07,2.113,
2006-10,2.018,
2007-01,2.112,
2007-04,2.061,
2007-07,2.191,
2007-10,2.273,
2008-01,2.115,
2008-04,2.178,
2008-07,2.089,
2008-10,2.243,
2009-01,2.325,
2009-04,2.435,
2009-07,2.514,
2009-10,2.635,
2010-01,2.694,
2010-04,2.712,
2010-07,2.832,
2010-10,2.967,
2011-01,2.883,
2011-04,2.856,
2011-07,2.850,
2011-10,2.986,
2012-01,3.060,
2012-04,3.208,
2012-07,3.273,
2012-10,3.370,
2013-01,3.203,
2013-04,3.298,
2013-07,3.235,
2013-10,3.352,
2014-01,3.405,
2014-04,3.227,
2014-07,3.332,
