"",BBSF2.M.1.T.00000.ALT01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.ALT01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Pension investment funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:19,
2009-09,68,
2009-10,68,
2009-11,69,
2009-12,69,
2010-01,34,
2010-02,29,
2010-03,28,
2010-04,30,
2010-05,29,
2010-06,28,
2010-07,53,
2010-08,58,
2010-09,54,
2010-10,45,
2010-11,56,
2010-12,54,
2011-01,55,
2011-02,44,
2011-03,38,
2011-04,46,
2011-05,54,
2011-06,56,
2011-07,49,
2011-08,52,
2011-09,75,
2011-10,75,
2011-11,79,
2011-12,87,
2012-01,93,
2012-02,97,
2012-03,89,
2012-04,89,
2012-05,110,
2012-06,101,
2012-07,103,
2012-08,111,
2012-09,103,
2012-10,99,
2012-11,98,
2012-12,99,
2013-01,102,
2013-02,102,
2013-03,110,
2013-04,107,
2013-05,102,
2013-06,95,
2013-07,96,
2013-08,96,
2013-09,94,
2013-10,93,
2013-11,86,
2013-12,84,
2014-01,89,
2014-02,88,
2014-03,88,
2014-04,88,
2014-05,88,
2014-06,91,
2014-07,92,
2014-08,92,
2014-09,93,
2014-10,97,
2014-11,94,
