"",BBK01.OECM02O,BBK01.OECM02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:31,
2002-01,0.073,
2002-04,0.070,
2002-07,0.061,
2002-10,0.074,
2003-01,0.060,
2003-04,0.035,
2003-07,0.040,
2003-10,0.048,
2004-01,0.028,
2004-04,0.038,
2004-07,0.046,
2004-10,0.035,
2005-01,0.040,
2005-04,0.052,
2005-07,0.042,
2005-10,0.081,
2006-01,0.064,
2006-04,0.043,
2006-07,0.050,
2006-10,0.053,
2007-01,0.057,
2007-04,0.041,
2007-07,0.047,
2007-10,0.085,
2008-01,0.062,
2008-04,0.110,
2008-07,0.094,
2008-10,0.115,
2009-01,0.184,
2009-04,0.206,
2009-07,0.157,
2009-10,0.121,
2010-01,0.085,
2010-04,0.068,
2010-07,0.079,
2010-10,0.070,
2011-01,0.136,
2011-04,0.148,
2011-07,0.140,
2011-10,0.202,
2012-01,0.186,
2012-04,0.070,
2012-07,0.074,
2012-10,0.093,
2013-01,0.085,
2013-04,0.113,
2013-07,0.096,
2013-10,0.083,
2014-01,0.067,
2014-04,0.071,
2014-07,0.083,
