"",BBK01.OEYI03K,BBK01.OEYI03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:49,
2002-01,29.017,
2002-04,28.968,
2002-07,29.825,
2002-10,30.252,
2003-01,30.798,
2003-04,30.995,
2003-07,31.262,
2003-10,30.591,
2004-01,30.355,
2004-04,31.421,
2004-07,33.185,
2004-10,19.630,
2005-01,20.271,
2005-04,21.568,
2005-07,22.169,
2005-10,22.572,
2006-01,23.389,
2006-04,24.720,
2006-07,30.633,
2006-10,28.702,
2007-01,28.929,
2007-04,29.852,
2007-07,30.328,
2007-10,29.575,
2008-01,29.403,
2008-04,29.179,
2008-07,29.117,
2008-10,28.855,
2009-01,26.789,
2009-04,26.530,
2009-07,26.117,
2009-10,25.150,
2010-01,24.732,
2010-04,24.863,
2010-07,24.616,
2010-10,24.194,
2011-01,23.448,
2011-04,22.788,
2011-07,16.200,
2011-10,16.001,
2012-01,15.451,
2012-04,15.305,
2012-07,15.104,
2012-10,14.881,
2013-01,14.733,
2013-04,14.547,
2013-07,15.785,
2013-10,15.232,
2014-01,14.495,
2014-04,14.773,
2014-07,14.638,
