"",BBSF2.M.1.T.00000.REN01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.REN01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Bonds funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:27,
2009-09,120654,
2009-10,121781,
2009-11,124286,
2009-12,126352,
2010-01,128399,
2010-02,131293,
2010-03,133748,
2010-04,130437,
2010-05,131463,
2010-06,131047,
2010-07,133099,
2010-08,137070,
2010-09,138012,
2010-10,138684,
2010-11,134770,
2010-12,131809,
2011-01,131605,
2011-02,133266,
2011-03,133838,
2011-04,131985,
2011-05,131672,
2011-06,130161,
2011-07,130298,
2011-08,130829,
2011-09,129313,
2011-10,129909,
2011-11,125427,
2011-12,130839,
2012-01,134684,
2012-02,138624,
2012-03,141726,
2012-04,141253,
2012-05,144559,
2012-06,143680,
2012-07,148577,
2012-08,152419,
2012-09,155276,
2012-10,158472,
2012-11,162255,
2012-12,164873,
2013-01,165959,
2013-02,166224,
2013-03,168533,
2013-04,172936,
2013-05,171261,
2013-06,164496,
2013-07,166600,
2013-08,165898,
2013-09,167131,
2013-10,169785,
2013-11,172964,
2013-12,171924,
2014-01,177529,
2014-02,179909,
2014-03,185779,
2014-04,185196,
2014-05,188377,
2014-06,189335,
2014-07,190987,
2014-08,195402,
2014-09,195295,
2014-10,196092,
2014-11,199968,
