"",BBK01.CEFFN9,BBK01.CEFFN9_FLAGS
"",long-term loans                                              debtor: Rest of the world                  creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:20,
1999-01,0.0,
1999-04,0.1,
1999-07,0.2,
1999-10,0.2,
2000-01,0.2,
2000-04,0.2,
2000-07,0.4,
2000-10,0.4,
2001-01,0.4,
2001-04,0.4,
2001-07,0.4,
2001-10,0.4,
2002-01,0.6,
2002-04,0.8,
2002-07,0.9,
2002-10,0.9,
2003-01,1.0,
2003-04,1.0,
2003-07,1.1,
2003-10,1.1,
2004-01,1.1,
2004-04,1.1,
2004-07,1.2,
2004-10,0.8,
2005-01,0.9,
2005-04,1.0,
2005-07,1.0,
2005-10,1.1,
2006-01,0.9,
2006-04,0.9,
2006-07,1.2,
2006-10,1.3,
2007-01,1.3,
2007-04,1.5,
2007-07,1.6,
2007-10,1.9,
2008-01,2.4,
2008-04,2.5,
2008-07,2.9,
2008-10,3.0,
2009-01,3.1,
2009-04,3.0,
2009-07,5.4,
2009-10,5.6,
2010-01,5.8,
2010-04,5.8,
2010-07,6.1,
2010-10,6.7,
2011-01,6.4,
2011-04,6.4,
2011-07,6.6,
2011-10,6.7,
2012-01,6.9,
2012-04,7.0,
2012-07,7.0,
2012-10,8.1,
2013-01,8.2,
2013-04,8.3,
2013-07,8.4,
2013-10,8.8,
2014-01,9.3,
2014-04,9.6,
2014-07,10.6,
