"",BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:16,
1991-01,325.891,
1991-04,503.900,
1991-07,484.100,
1991-10,345.953,
1992-01,-414.680,
1992-04,-217.490,
1992-07,-341.449,
1992-10,-438.450,
1993-01,-254.885,
1993-04,-148.383,
1993-07,-93.735,
1993-10,-310.676,
1994-01,-183.010,
1994-04,-81.268,
1994-07,2.278,
1994-10,-244.804,
1995-01,147.870,
1995-04,189.811,
1995-07,168.140,
1995-10,81.566,
1996-01,505.312,
1996-04,678.667,
1996-07,824.191,
1996-10,699.253,
1997-01,894.548,
1997-04,1040.054,
1997-07,1048.160,
1997-10,982.737,
1998-01,716.073,
1998-04,1197.453,
1998-07,1199.589,
1998-10,-223.113,
1999-01,489.409,
1999-04,468.990,
1999-07,523.211,
1999-10,594.969,
2000-01,-1306.808,
2000-04,-1968.200,
2000-07,-1547.774,
2000-10,-1965.638,
2001-01,-6943.689,
2001-04,-3619.042,
2001-07,-2282.977,
2001-10,-5096.530,
2002-01,-1968.557,
2002-04,-3641.620,
2002-07,-1751.735,
2002-10,-5343.356,
2003-01,-674.339,
2003-04,-1301.824,
2003-07,-339.707,
2003-10,-1697.721,
2004-01,4530.116,
2004-04,1476.212,
2004-07,4184.014,
2004-10,2495.651,
2005-01,5904.815,
2005-04,2801.501,
2005-07,5826.501,
2005-10,3900.848,
2006-01,7149.488,
2006-04,4127.651,
2006-07,8225.571,
2006-10,5375.249,
2007-01,9543.963,
2007-04,6386.805,
2007-07,6787.485,
2007-10,853.400,
2008-01,-1977.655,
2008-04,-8521.623,
2008-07,-3540.533,
2008-10,-6122.381,
2009-01,2853.039,
2009-04,843.023,
2009-07,6737.369,
2009-10,2496.835,
2010-01,3274.311,
2010-04,2123.628,
2010-07,6562.262,
2010-10,1321.513,
2011-01,7524.446,
2011-04,6368.890,
2011-07,8257.063,
2011-10,2288.161,
2012-01,8168.472,
2012-04,5784.846,
2012-07,8711.587,
2012-10,3183.255,
2013-01,5905.678,
2013-04,3754.270,
2013-07,6891.113,
2013-10,2228.909,
2014-01,7327.255,Provisional value
2014-04,6926.209,Provisional value
2014-07,5971.916,Provisional value
2014-10,-1256.829,Provisional value
