"",BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:41,
1991-01,152.897,
1991-04,109.902,
1991-07,-108.321,
1991-10,67.866,
1992-01,-752.129,
1992-04,-183.967,
1992-07,-24.884,
1992-10,-106.756,
1993-01,-14.285,
1993-04,176.697,
1993-07,-63.051,
1993-10,-116.132,
1994-01,144.755,
1994-04,-251.996,
1994-07,421.304,
1994-10,-320.302,
1995-01,473.576,
1995-04,-273.993,
1995-07,158.633,
1995-10,293.643,
1996-01,-54.349,
1996-04,61.174,
1996-07,64.683,
1996-10,-145.040,
1997-01,83.936,
1997-04,628.963,
1997-07,-103.384,
1997-10,-418.309,
1998-01,126.985,
1998-04,1049.226,
1998-07,-333.101,
1998-10,400.517,
1999-01,16.596,
1999-04,225.471,
1999-07,188.608,
1999-10,-477.006,
2000-01,3458.072,
2000-04,-2014.174,
2000-07,-382.611,
2000-10,826.080,
2001-01,-103.278,
2001-04,365.563,
2001-07,693.638,
2001-10,-225.109,
2002-01,399.670,
2002-04,9.101,
2002-07,-99.206,
2002-10,2297.250,
2003-01,-2167.641,
2003-04,383.092,
2003-07,-571.255,
2003-10,-479.592,
2004-01,1914.596,
2004-04,280.969,
2004-07,-2580.921,
2004-10,6144.428,
2005-01,-15.782,
2005-04,-825.095,
2005-07,2466.232,
2005-10,478.348,
2006-01,-678.253,
2006-04,111.199,
2006-07,-1016.622,
2006-10,-35.208,
2007-01,2251.987,
2007-04,1183.728,
2007-07,-2416.647,
2007-10,1650.408,
2008-01,1251.282,
2008-04,-5395.215,
2008-07,2741.009,
2008-10,-528.628,
2009-01,244.990,
2009-04,4979.258,
2009-07,-6229.813,
2009-10,3106.794,
2010-01,691.924,
2010-04,4778.430,
2010-07,-2798.085,
2010-10,-786.383,
2011-01,-3377.974,
2011-04,-289.038,
2011-07,3151.971,
2011-10,3991.920,
2012-01,4732.074,
2012-04,-6354.681,
2012-07,2922.421,
2012-10,-4427.378,
2013-01,3900.915,
2013-04,50.925,
2013-07,-1829.043,
2013-10,-1923.823,
2014-01,-706.560,Provisional value
2014-04,631.742,Provisional value
2014-07,1507.904,Provisional value
2014-10,-455.962,Provisional value
