"",BBK01.OEAD18V,BBK01.OEAD18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:01,
2002-01,0.164,
2002-04,0.175,
2002-07,0.168,
2002-10,0.141,
2003-01,0.145,
2003-04,0.159,
2003-07,0.156,
2003-10,0.132,
2004-01,0.135,
2004-04,0.131,
2004-07,0.138,
2004-10,0.120,
2005-01,0.120,
2005-04,0.122,
2005-07,0.118,
2005-10,0.112,
2006-01,0.113,
2006-04,0.125,
2006-07,0.106,
2006-10,0.109,
2007-01,0.121,
2007-04,0.134,
2007-07,0.132,
2007-10,0.120,
2008-01,0.139,
2008-04,0.147,
2008-07,0.158,
2008-10,0.095,
2009-01,0.088,
2009-04,0.091,
2009-07,0.084,
2009-10,0.071,
2010-01,0.075,
2010-04,0.076,
2010-07,0.077,
2010-10,0.068,
2011-01,0.076,
2011-04,0.082,
2011-07,0.077,
2011-10,0.070,
2012-01,0.070,
2012-04,0.081,
2012-07,0.092,
2012-10,0.065,
2013-01,0.073,
2013-04,0.069,
2013-07,0.072,
2013-10,0.060,
2014-01,0.066,
2014-04,0.070,
2014-07,0.063,
