"",BBK01.OEAC06N,BBK01.OEAC06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:07,
2002-01,5.195,
2002-04,5.248,
2002-07,5.367,
2002-10,4.803,
2003-01,5.380,
2003-04,5.407,
2003-07,5.514,
2003-10,5.299,
2004-01,5.308,
2004-04,5.346,
2004-07,5.460,
2004-10,5.285,
2005-01,5.363,
2005-04,5.399,
2005-07,5.502,
2005-10,5.437,
2006-01,5.627,
2006-04,5.644,
2006-07,5.786,
2006-10,5.690,
2007-01,5.733,
2007-04,5.797,
2007-07,5.935,
2007-10,5.973,
2008-01,6.073,
2008-04,6.134,
2008-07,6.313,
2008-10,6.241,
2009-01,5.886,
2009-04,6.034,
2009-07,6.255,
2009-10,6.393,
2010-01,6.991,
2010-04,7.384,
2010-07,7.648,
2010-10,7.758,
2011-01,7.800,
2011-04,8.010,
2011-07,8.256,
2011-10,8.375,
2012-01,8.454,
2012-04,8.651,
2012-07,8.809,
2012-10,8.859,
2013-01,8.857,
2013-04,9.023,
2013-07,9.172,
2013-10,9.116,
2014-01,9.133,
2014-04,9.285,
2014-07,9.467,
