"",BBK01.OEBB10J,BBK01.OEBB10J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:01,
2002-01,1.184,
2002-04,1.278,
2002-07,1.309,
2002-10,1.246,
2003-01,1.276,
2003-04,1.238,
2003-07,1.210,
2003-10,0.964,
2004-01,0.984,
2004-04,1.008,
2004-07,0.948,
2004-10,0.839,
2005-01,0.863,
2005-04,0.854,
2005-07,0.934,
2005-10,0.868,
2006-01,0.961,
2006-04,0.990,
2006-07,0.977,
2006-10,0.993,
2007-01,1.073,
2007-04,1.104,
2007-07,1.132,
2007-10,1.047,
2008-01,1.064,
2008-04,1.138,
2008-07,1.200,
2008-10,1.111,
2009-01,1.141,
2009-04,1.089,
2009-07,1.065,
2009-10,1.012,
2010-01,1.015,
2010-04,1.126,
2010-07,1.141,
2010-10,1.160,
2011-01,1.237,
2011-04,1.332,
2011-07,1.360,
2011-10,1.388,
2012-01,1.415,
2012-04,1.577,
2012-07,1.612,
2012-10,1.575,
2013-01,1.568,
2013-04,1.458,
2013-07,1.525,
2013-10,1.647,
2014-01,1.741,
2014-04,1.690,
2014-07,1.592,
