"",BBK01.OEBJ01J,BBK01.OEBJ01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:04,
2002-01,1.348,
2002-04,1.285,
2002-07,1.238,
2002-10,1.307,
2003-01,1.238,
2003-04,1.332,
2003-07,1.276,
2003-10,1.271,
2004-01,1.319,
2004-04,1.240,
2004-07,1.281,
2004-10,1.345,
2005-01,1.461,
2005-04,1.405,
2005-07,1.365,
2005-10,1.695,
2006-01,1.639,
2006-04,1.578,
2006-07,1.538,
2006-10,1.563,
2007-01,1.594,
2007-04,1.603,
2007-07,1.901,
2007-10,2.050,
2008-01,2.105,
2008-04,2.172,
2008-07,2.215,
2008-10,2.401,
2009-01,2.360,
2009-04,2.162,
2009-07,2.231,
2009-10,2.578,
2010-01,2.287,
2010-04,2.128,
2010-07,2.143,
2010-10,2.272,
2011-01,2.215,
2011-04,2.161,
2011-07,2.282,
2011-10,2.442,
2012-01,2.316,
2012-04,6.637,
2012-07,6.871,
2012-10,6.617,
2013-01,6.319,
2013-04,4.750,
2013-07,3.917,
2013-10,4.153,
2014-01,2.668,
2014-04,2.785,
2014-07,2.838,
