"",BBK01.PQG359,BBK01.PQG359_FLAGS
"",Lending to domestic self-employed persons / Short-term / Land banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:05,
1968-10,0.137,
1969-01,0.135,
1969-04,0.139,
1969-07,0.148,
1969-10,0.185,
1970-01,0.206,
1970-04,0.238,
1970-07,0.249,
1970-10,0.255,
1971-01,0.276,
1971-04,0.304,
1971-07,0.313,
1971-10,0.379,
1972-01,0.361,
1972-04,0.402,
1972-07,0.388,
1972-10,0.437,
1973-01,0.416,
1973-04,0.454,
1973-07,0.524,
1973-10,0.549,
1974-01,0.541,
1974-04,0.566,
1974-07,0.625,
1974-10,0.622,
1975-01,0.570,
1975-04,0.562,
1975-07,0.482,
1975-10,0.485,
1976-01,0.420,
1976-04,0.459,
1976-07,0.447,
1976-10,0.445,
1977-01,0.437,
1977-04,0.445,
1977-07,0.390,
1977-10,0.417,
1978-01,0.383,
1978-04,0.408,
1978-07,0.389,
1978-10,0.423,
1979-01,0.395,
1979-04,0.446,
1979-07,0.485,
1979-10,0.545,
1980-01,0.525,
1980-04,0.573,
1980-07,0.565,
1980-10,0.666,
1981-01,0.638,
1981-04,0.642,
1981-07,0.642,
1981-10,0.754,
1982-01,0.709,
1982-04,0.775,
1982-07,0.841,
1982-10,0.889,
1983-01,0.854,
1983-04,0.940,
1983-07,0.947,
1983-10,1.010,
1984-01,0.962,
1984-04,1.055,
1984-07,1.096,
1984-10,1.099,
1985-01,1.061,
1985-04,1.076,
1985-07,1.058,
1985-10,1.084,
1986-01,1.029,
1986-04,0.944,
1986-07,0.895,
1986-10,0.908,
1987-01,0.823,
1987-04,0.736,
1987-07,0.692,
1987-10,0.698,
1988-01,0.631,
1988-04,0.601,
1988-07,0.587,
1988-10,0.631,
1989-01,0.594,
1989-04,0.601,
1989-07,0.648,
1989-10,0.711,
1990-01,0.671,
1990-04,0.706,
1990-07,0.677,
1990-10,0.839,
1991-01,0.801,
1991-04,0.818,
1991-07,0.780,
1991-10,0.897,
1992-01,0.990,
1992-04,1.244,
1992-07,1.058,
1992-10,1.243,
1993-01,1.260,
1993-04,1.259,
1993-07,1.224,
1993-10,1.316,
1994-01,1.211,
1994-04,1.357,
1994-07,1.417,
1994-10,1.681,
1995-01,1.533,
1995-04,1.558,
1995-07,1.543,
1995-10,1.605,
1996-01,1.549,
1996-04,1.547,
1996-07,1.591,
1996-10,1.922,
1997-01,1.745,
1997-04,1.812,
1997-07,1.732,
1997-10,1.905,
1998-01,1.804,
1998-04,2.124,
1998-07,2.107,
1998-10,2.452,
1999-01,2.637,
1999-04,2.731,
1999-07,2.766,
1999-10,2.776,
2000-01,2.727,
2000-04,2.743,
2000-07,2.770,
2000-10,2.937,
2001-01,2.798,
2001-04,3.057,
2001-07,3.222,
2001-10,3.041,
2002-01,2.791,
2002-04,2.877,
2002-07,2.909,
2002-10,2.723,
2003-01,2.703,
2003-04,3.249,
2003-07,3.436,
2003-10,3.046,
2004-01,2.947,
2004-04,2.865,
2004-07,2.837,
2004-10,2.794,
2005-01,2.802,
2005-04,2.862,
2005-07,3.124,
2005-10,3.269,
2006-01,3.008,
2006-04,3.042,
2006-07,3.209,
2006-10,2.824,
2007-01,2.720,
2007-04,2.614,
2007-07,2.431,
2007-10,2.311,
2008-01,2.317,
2008-04,2.410,
2008-07,2.370,
2008-10,2.483,
2009-01,2.453,
2009-04,2.446,
2009-07,2.427,
2009-10,2.294,
2010-01,2.295,
2010-04,2.274,
2010-07,2.292,
2010-10,2.352,
2011-01,2.105,
2011-04,2.109,
2011-07,2.084,
2011-10,1.978,
2012-01,1.857,
2012-04,1.923,
2012-07,1.823,
2012-10,1.948,
2013-01,1.723,
2013-04,1.678,
2013-07,1.557,
2013-10,1.407,
2014-01,1.186,
2014-04,1.187,
2014-07,1.138,
2014-10,1.265,
