"",BBK01.OEXB01L,BBK01.OEXB01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:34,
2002-01,70.048,
2002-04,66.211,
2002-07,67.330,
2002-10,71.414,
2003-01,78.581,
2003-04,72.811,
2003-07,70.808,
2003-10,73.825,
2004-01,84.366,
2004-04,82.770,
2004-07,82.946,
2004-10,81.319,
2005-01,86.876,
2005-04,92.956,
2005-07,99.581,
2005-10,109.949,
2006-01,120.265,
2006-04,120.429,
2006-07,124.229,
2006-10,124.506,
2007-01,132.487,
2007-04,140.503,
2007-07,148.311,
2007-10,160.662,
2008-01,172.872,
2008-04,180.742,
2008-07,192.267,
2008-10,184.086,
2009-01,195.198,
2009-04,186.989,
2009-07,176.469,
2009-10,169.081,
2010-01,164.904,
2010-04,172.615,
2010-07,165.765,
2010-10,165.617,
2011-01,174.085,
2011-04,174.463,
2011-07,179.159,
2011-10,178.636,
2012-01,177.184,
2012-04,179.198,
2012-07,176.540,
2012-10,174.230,
2013-01,175.941,
2013-04,174.421,
2013-07,168.701,
2013-10,172.218,
2014-01,174.577,
2014-04,177.528,
2014-07,179.371,
