"",BBFI1.Q.N.DE.W1.S122.S1.LE.A.FA.O.F2.S._T.N.N,BBFI1.Q.N.DE.W1.S122.S1.LE.A.FA.O.F2.S._T.N.N_FLAGS
"","IIP - Other Investment - Currency and deposits - Deposit taking corporations, except the Central Bank - Short-term original maturity (up to 1 year incl. incl.) - Assets - Positions",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:03:26,
1999-10,279815,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,325904,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,384187,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,468284,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,516027,
2004-01,538735,
2004-04,567145,
2004-07,578157,
2004-10,606694,
2005-01,657616,
2005-04,694313,
2005-07,690531,
2005-10,648690,
2006-01,729311,
2006-04,748922,
2006-07,726412,
2006-10,744807,
2007-01,752553,
2007-04,800071,
2007-07,829266,
2007-10,803976,
2008-01,810466,
2008-04,791207,
2008-07,814895,
2008-10,767534,
2009-01,686640,
2009-04,653693,
2009-07,608529,
2009-10,643857,
2010-01,640757,
2010-04,680065,
2010-07,667331,
2010-10,608781,
2011-01,571797,
2011-04,582449,
2011-07,609369,
2011-10,567198,
2012-01,581024,
2012-04,567588,
2012-07,585290,
2012-10,546445,
2013-01,549887,
2013-04,564643,
2013-07,543150,
2013-10,547105,
2014-01,566907,
2014-04,610966,
2014-07,624944,
