"",BBK01.OEXB08J,BBK01.OEXB08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:20,
2002-01,1.225,
2002-04,1.226,
2002-07,1.217,
2002-10,1.214,
2003-01,1.215,
2003-04,1.220,
2003-07,1.222,
2003-10,1.226,
2004-01,1.228,
2004-04,1.237,
2004-07,1.259,
2004-10,1.203,
2005-01,1.199,
2005-04,1.204,
2005-07,1.219,
2005-10,1.356,
2006-01,1.361,
2006-04,1.379,
2006-07,1.414,
2006-10,1.435,
2007-01,1.424,
2007-04,1.447,
2007-07,1.445,
2007-10,1.487,
2008-01,1.480,
2008-04,1.566,
2008-07,1.580,
2008-10,1.600,
2009-01,1.628,
2009-04,1.625,
2009-07,1.593,
2009-10,1.571,
2010-01,1.578,
2010-04,1.561,
2010-07,1.552,
2010-10,1.526,
2011-01,1.524,
2011-04,1.493,
2011-07,1.514,
2011-10,1.521,
2012-01,1.541,
2012-04,1.540,
2012-07,1.534,
2012-10,1.564,
2013-01,1.530,
2013-04,1.518,
2013-07,1.531,
2013-10,1.493,
2014-01,1.580,
2014-04,1.581,
2014-07,1.527,
