"",BBK01.OEAC28N,BBK01.OEAC28N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:31,
2002-01,0.738,
2002-04,0.787,
2002-07,0.753,
2002-10,0.814,
2003-01,0.750,
2003-04,1.243,
2003-07,1.191,
2003-10,1.140,
2004-01,1.093,
2004-04,1.099,
2004-07,0.951,
2004-10,0.940,
2005-01,0.918,
2005-04,0.876,
2005-07,0.820,
2005-10,0.804,
2006-01,0.757,
2006-04,0.796,
2006-07,0.744,
2006-10,0.828,
2007-01,0.810,
2007-04,0.816,
2007-07,0.763,
2007-10,0.798,
2008-01,0.845,
2008-04,0.870,
2008-07,0.843,
2008-10,0.819,
2009-01,0.888,
2009-04,0.901,
2009-07,0.833,
2009-10,0.803,
2010-01,0.806,
2010-04,0.721,
2010-07,0.886,
2010-10,0.794,
2011-01,0.811,
2011-04,0.940,
2011-07,0.986,
2011-10,0.781,
2012-01,0.737,
2012-04,0.767,
2012-07,0.782,
2012-10,0.752,
2013-01,0.752,
2013-04,0.738,
2013-07,0.729,
2013-10,0.780,
2014-01,0.759,
2014-04,0.737,
2014-07,0.694,
