"",BBK01.OEAH57M,BBK01.OEAH57M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:57,
2002-01,102.067,
2002-04,101.512,
2002-07,101.157,
2002-10,104.226,
2003-01,105.035,
2003-04,104.802,
2003-07,104.665,
2003-10,106.700,
2004-01,107.234,
2004-04,107.162,
2004-07,106.346,
2004-10,109.150,
2005-01,114.890,
2005-04,114.869,
2005-07,115.231,
2005-10,116.714,
2006-01,117.389,
2006-04,117.036,
2006-07,116.154,
2006-10,117.513,
2007-01,117.849,
2007-04,118.216,
2007-07,117.944,
2007-10,120.867,
2008-01,121.832,
2008-04,122.210,
2008-07,121.047,
2008-10,126.600,
2009-01,129.925,
2009-04,131.957,
2009-07,130.329,
2009-10,131.985,
2010-01,133.002,
2010-04,133.948,
2010-07,133.714,
2010-10,136.552,
2011-01,137.058,
2011-04,138.132,
2011-07,139.061,
2011-10,141.222,
2012-01,141.432,
2012-04,142.449,
2012-07,142.724,
2012-10,143.604,
2013-01,143.363,
2013-04,144.388,
2013-07,144.229,
2013-10,145.388,
2014-01,145.852,
2014-04,146.427,
2014-07,148.232,
