"",BBK01.OEAA26S,BBK01.OEAA26S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:04,
2002-01,0.544,
2002-04,0.539,
2002-07,0.534,
2002-10,0.491,
2003-01,0.486,
2003-04,0.485,
2003-07,0.482,
2003-10,0.460,
2004-01,0.482,
2004-04,0.475,
2004-07,0.458,
2004-10,0.430,
2005-01,0.443,
2005-04,0.437,
2005-07,0.429,
2005-10,0.403,
2006-01,0.413,
2006-04,0.401,
2006-07,0.389,
2006-10,0.350,
2007-01,0.354,
2007-04,0.347,
2007-07,0.331,
2007-10,0.331,
2008-01,0.336,
2008-04,0.331,
2008-07,0.315,
2008-10,0.305,
2009-01,0.316,
2009-04,0.313,
2009-07,0.298,
2009-10,0.293,
2010-01,0.311,
2010-04,0.311,
2010-07,0.300,
2010-10,0.271,
2011-01,0.283,
2011-04,0.286,
2011-07,0.279,
2011-10,0.266,
2012-01,0.286,
2012-04,0.292,
2012-07,0.271,
2012-10,0.263,
2013-01,0.282,
2013-04,0.279,
2013-07,0.262,
2013-10,0.247,
2014-01,0.254,
2014-04,0.263,
2014-07,0.245,
