"",BBSF2.M.1.P.00000.DER01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DER01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Derivative funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:37,
2009-09,42,
2009-10,9,
2009-11,8,
2009-12,32,
2010-01,3,
2010-02,32,
2010-03,4,
2010-04,12,
2010-05,6,
2010-06,1,
2010-07,1,
2010-08,1,
2010-09,0,
2010-10,0,
2010-11,3,
2010-12,2,
2011-01,0,
2011-02,0,
2011-03,51,
2011-04,0,
2011-05,1,
2011-06,2,
2011-07,0,
2011-08,3,
2011-09,9,
2011-10,20,
2011-11,0,
2011-12,1,
2012-01,1,
2012-02,1,
2012-03,1,
2012-04,0,
2012-05,0,
2012-06,5,
2012-07,1,
2012-08,1,
2012-09,5,
2012-10,1,
2012-11,2,
2012-12,1,
2013-01,2,
2013-02,4,
2013-03,2,
2013-04,0,
2013-05,1,
2013-06,1,
2013-07,0,
2013-08,0,
2013-09,0,
2013-10,0,
2013-11,1,
2013-12,0,
2014-01,0,
2014-02,0,
2014-03,1,
2014-04,1,
2014-05,8,
2014-06,0,
2014-07,2,
2014-08,3,
2014-09,1,
2014-10,6,
2014-11,1,
