"",BBK01.OEXB19J,BBK01.OEXB19J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:25,
2002-01,0.110,
2002-04,0.106,
2002-07,0.107,
2002-10,0.105,
2003-01,0.105,
2003-04,0.111,
2003-07,0.117,
2003-10,0.119,
2004-01,0.126,
2004-04,0.127,
2004-07,0.122,
2004-10,0.112,
2005-01,0.107,
2005-04,0.109,
2005-07,0.110,
2005-10,0.105,
2006-01,0.104,
2006-04,0.103,
2006-07,0.125,
2006-10,0.129,
2007-01,0.128,
2007-04,0.127,
2007-07,0.123,
2007-10,0.122,
2008-01,0.120,
2008-04,0.122,
2008-07,0.125,
2008-10,0.126,
2009-01,0.131,
2009-04,0.130,
2009-07,0.127,
2009-10,0.128,
2010-01,0.124,
2010-04,0.132,
2010-07,0.129,
2010-10,0.147,
2011-01,0.144,
2011-04,0.140,
2011-07,0.137,
2011-10,0.122,
2012-01,0.117,
2012-04,0.113,
2012-07,0.086,
2012-10,0.083,
2013-01,0.080,
2013-04,0.078,
2013-07,0.080,
2013-10,0.079,
2014-01,0.077,
2014-04,0.073,
2014-07,0.071,
