"",BBK01.OEYB10L,BBK01.OEYB10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:08,
2002-01,5.448,
2002-04,5.676,
2002-07,5.226,
2002-10,5.429,
2003-01,6.622,
2003-04,6.787,
2003-07,6.191,
2003-10,7.367,
2004-01,5.903,
2004-04,5.839,
2004-07,5.382,
2004-10,6.252,
2005-01,5.754,
2005-04,5.513,
2005-07,5.849,
2005-10,6.860,
2006-01,6.752,
2006-04,6.267,
2006-07,5.421,
2006-10,6.438,
2007-01,6.086,
2007-04,5.757,
2007-07,6.108,
2007-10,7.263,
2008-01,5.471,
2008-04,6.622,
2008-07,6.362,
2008-10,5.774,
2009-01,6.505,
2009-04,5.745,
2009-07,4.696,
2009-10,4.157,
2010-01,4.360,
2010-04,4.023,
2010-07,3.815,
2010-10,3.332,
2011-01,3.724,
2011-04,2.603,
2011-07,4.607,
2011-10,3.136,
2012-01,4.346,
2012-04,3.365,
2012-07,5.177,
2012-10,3.725,
2013-01,3.397,
2013-04,3.323,
2013-07,3.514,
2013-10,3.268,
2014-01,3.269,
2014-04,3.318,
2014-07,2.572,
