"",BBK01.OEAE36L,BBK01.OEAE36L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:18,
2002-01,8.065,
2002-04,7.981,
2002-07,8.107,
2002-10,8.995,
2003-01,9.809,
2003-04,10.378,
2003-07,10.324,
2003-10,10.495,
2004-01,10.789,
2004-04,10.517,
2004-07,10.507,
2004-10,10.351,
2005-01,10.148,
2005-04,9.807,
2005-07,10.023,
2005-10,10.181,
2006-01,10.059,
2006-04,10.024,
2006-07,10.010,
2006-10,10.018,
2007-01,10.158,
2007-04,10.014,
2007-07,10.399,
2007-10,10.785,
2008-01,11.006,
2008-04,10.539,
2008-07,10.977,
2008-10,8.374,
2009-01,6.916,
2009-04,6.554,
2009-07,6.315,
2009-10,5.901,
2010-01,6.000,
2010-04,5.996,
2010-07,6.058,
2010-10,6.179,
2011-01,6.061,
2011-04,5.888,
2011-07,5.568,
2011-10,5.384,
2012-01,5.376,
2012-04,5.151,
2012-07,5.260,
2012-10,5.086,
2013-01,5.002,
2013-04,4.995,
2013-07,5.096,
2013-10,5.096,
2014-01,4.906,
2014-04,4.510,
2014-07,4.718,
