"",BBFB1.Q.N.DE.SI.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:46,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,6.206,
1992-07,8.842,
1992-10,8.177,
1993-01,2.056,
1993-04,0.238,
1993-07,1.325,
1993-10,1.536,
1994-01,-0.593,
1994-04,-5.057,
1994-07,-2.807,
1994-10,-0.683,
1995-01,-0.011,
1995-04,1.906,
1995-07,4.306,
1995-10,6.058,
1996-01,4.660,
1996-04,5.145,
1996-07,2.950,
1996-10,3.619,
1997-01,6.232,
1997-04,4.144,
1997-07,7.968,
1997-10,7.703,
1998-01,2.849,
1998-04,0.760,
1998-07,3.996,
1998-10,-0.198,
1999-01,2.890,
1999-04,6.073,
1999-07,3.911,
1999-10,5.419,
2000-01,3.486,
2000-04,4.448,
2000-07,6.889,
2000-10,4.799,
2001-01,1.015,
2001-04,0.446,
2001-07,3.981,
2001-10,4.329,
2002-01,10.113,
2002-04,9.265,
2002-07,8.185,
2002-10,12.756,
2003-01,15.724,
2003-04,16.072,
2003-07,16.627,
2003-10,17.264,
2004-01,20.283,
2004-04,23.213,
2004-07,20.588,
2004-10,20.018,
2005-01,23.767,
2005-04,22.698,
2005-07,28.935,
2005-10,33.596,
2006-01,33.478,
2006-04,34.169,
2006-07,35.043,
2006-10,38.964,
2007-01,44.139,
2007-04,46.764,
2007-07,41.021,
2007-10,46.231,
2008-01,40.654,
2008-04,40.068,
2008-07,33.178,
2008-10,21.092,
2009-01,20.983,
2009-04,22.476,
2009-07,30.091,
2009-10,43.093,
2010-01,34.173,
2010-04,37.026,
2010-07,37.911,
2010-10,37.393,
2011-01,44.675,
2011-04,69.889,
2011-07,44.430,
2011-10,49.754,
2012-01,64.663,
2012-04,43.389,
2012-07,41.814,
2012-10,37.119,
2013-01,31.623,
2013-04,26.883,
2013-07,29.957,
2013-10,18.551,
2014-01,30.965,Provisional value
2014-04,32.137,Provisional value
2014-07,32.641,Provisional value
