"",BBK01.OEBJ07H,BBK01.OEBJ07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:44,
2002-01,0.112,
2002-04,0.106,
2002-07,0.097,
2002-10,0.087,
2003-01,0.098,
2003-04,0.110,
2003-07,0.194,
2003-10,0.245,
2004-01,0.300,
2004-04,0.293,
2004-07,0.344,
2004-10,0.316,
2005-01,0.305,
2005-04,0.356,
2005-07,0.378,
2005-10,0.231,
2006-01,0.289,
2006-04,0.201,
2006-07,0.169,
2006-10,0.154,
2007-01,0.261,
2007-04,0.204,
2007-07,0.089,
2007-10,0.093,
2008-01,0.096,
2008-04,0.081,
2008-07,0.080,
2008-10,0.110,
2009-01,0.131,
2009-04,0.089,
2009-07,0.095,
2009-10,0.127,
2010-01,0.171,
2010-04,0.209,
2010-07,0.204,
2010-10,0.168,
2011-01,0.173,
2011-04,0.155,
2011-07,0.156,
2011-10,0.109,
2012-01,0.147,
2012-04,0.160,
2012-07,0.178,
2012-10,0.204,
2013-01,0.217,
2013-04,0.235,
2013-07,0.234,
2013-10,0.239,
2014-01,0.225,
2014-04,0.229,
2014-07,0.228,
