"",BBK01.OEAC05Q,BBK01.OEAC05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:01,
2002-01,6.320,
2002-04,6.189,
2002-07,5.995,
2002-10,5.915,
2003-01,5.851,
2003-04,6.251,
2003-07,6.312,
2003-10,6.047,
2004-01,6.018,
2004-04,5.481,
2004-07,5.369,
2004-10,5.390,
2005-01,5.388,
2005-04,5.399,
2005-07,5.248,
2005-10,5.017,
2006-01,5.068,
2006-04,5.112,
2006-07,5.078,
2006-10,4.980,
2007-01,4.927,
2007-04,4.776,
2007-07,4.660,
2007-10,4.661,
2008-01,4.613,
2008-04,4.647,
2008-07,4.727,
2008-10,4.554,
2009-01,4.278,
2009-04,4.399,
2009-07,4.490,
2009-10,4.379,
2010-01,4.097,
2010-04,4.028,
2010-07,3.777,
2010-10,3.697,
2011-01,3.762,
2011-04,3.763,
2011-07,3.727,
2011-10,3.530,
2012-01,3.566,
2012-04,3.612,
2012-07,3.714,
2012-10,3.784,
2013-01,3.825,
2013-04,3.638,
2013-07,3.642,
2013-10,3.615,
2014-01,3.582,
2014-04,3.538,
2014-07,3.616,
