"",BBK01.OECL04P,BBK01.OECL04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:41,
2002-01,0.056,
2002-04,0.048,
2002-07,0.046,
2002-10,0.045,
2003-01,0.031,
2003-04,0.027,
2003-07,0.033,
2003-10,0.027,
2004-01,0.025,
2004-04,0.029,
2004-07,0.027,
2004-10,0.030,
2005-01,0.033,
2005-04,0.035,
2005-07,0.033,
2005-10,0.034,
2006-01,0.035,
2006-04,0.037,
2006-07,0.041,
2006-10,0.051,
2007-01,0.057,
2007-04,0.072,
2007-07,0.105,
2007-10,0.130,
2008-01,0.164,
2008-04,0.182,
2008-07,0.248,
2008-10,0.265,
2009-01,0.217,
2009-04,0.196,
2009-07,0.158,
2009-10,0.143,
2010-01,0.109,
2010-04,0.076,
2010-07,0.037,
2010-10,0.032,
2011-01,0.034,
2011-04,0.044,
2011-07,0.040,
2011-10,0.042,
2012-01,0.043,
2012-04,0.034,
2012-07,0.034,
2012-10,0.028,
2013-01,0.027,
2013-04,0.037,
2013-07,0.035,
2013-10,0.028,
2014-01,0.033,
2014-04,0.018,
2014-07,0.012,
