"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:02,
1991-01,720.355,
1991-04,1190.804,
1991-07,466.346,
1991-10,1628.520,
1992-01,329.863,
1992-04,-778.562,
1992-07,-450.070,
1992-10,-785.476,
1993-01,702.282,
1993-04,379.459,
1993-07,122.482,
1993-10,-827.746,
1994-01,722.191,
1994-04,1219.068,
1994-07,988.707,
1994-10,3176.325,
1995-01,2022.545,
1995-04,571.947,
1995-07,3503.371,
1995-10,2754.299,
1996-01,836.800,
1996-04,476.446,
1996-07,1427.335,
1996-10,9390.650,
1997-01,8975.675,
1997-04,-360.003,
1997-07,1484.441,
1997-10,6156.760,
1998-01,24424.367,
1998-04,8868.624,
1998-07,-5843.737,
1998-10,67.056,
1999-01,16962.437,
1999-04,18546.438,
1999-07,1566.145,
1999-10,44091.564,
2000-01,171236.418,
2000-04,48958.286,
2000-07,52214.593,
2000-10,-15966.399,
2001-01,27420.808,
2001-04,14365.993,
2001-07,14996.543,
2001-10,6414.516,
2002-01,11638.600,
2002-04,23672.480,
2002-07,8029.443,
2002-10,11424.258,
2003-01,31125.006,
2003-04,16356.420,
2003-07,16742.570,
2003-10,-4568.653,
2004-01,-20435.930,
2004-04,941.641,
2004-07,-3591.704,
2004-10,6462.067,
2005-01,6606.623,
2005-04,4310.802,
2005-07,2036.159,
2005-10,36401.331,
2006-01,13794.302,
2006-04,11932.497,
2006-07,9260.180,
2006-10,34179.004,
2007-01,20532.216,
2007-04,10896.163,
2007-07,10215.383,
2007-10,-3303.333,
2008-01,1839.127,
2008-04,9461.625,
2008-07,7965.736,
2008-10,1085.302,
2009-01,10743.347,
2009-04,3621.704,
2009-07,2162.222,
2009-10,23461.786,
2010-01,8723.680,
2010-04,6123.488,
2010-07,22349.837,
2010-10,27489.266,
2011-01,5376.983,
2011-04,20853.475,
2011-07,19585.501,
2011-10,17808.443,
2012-01,8709.597,
2012-04,7359.519,
2012-07,1907.441,
2012-10,21076.093,
2013-01,6920.585,
2013-04,15700.291,
2013-07,4929.856,
2013-10,11086.234,
2014-01,1749.844,Provisional value
2014-04,7357.708,Provisional value
2014-07,-6338.542,Provisional value
2014-10,-9776.221,Provisional value
