"",BBFB1.Q.N.DE.US.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:42,
1991-01,2650.215,
1991-04,-797.396,
1991-07,-408.055,
1991-10,-78.020,
1992-01,-369.411,
1992-04,-1341.715,
1992-07,2920.283,
1992-10,590.456,
1993-01,2778.385,
1993-04,1574.446,
1993-07,-663.826,
1993-10,2531.678,
1994-01,-1354.557,
1994-04,744.408,
1994-07,-223.198,
1994-10,-1192.511,
1995-01,944.909,
1995-04,2683.222,
1995-07,3384.674,
1995-10,-338.867,
1996-01,-961.762,
1996-04,-457.040,
1996-07,498.616,
1996-10,879.815,
1997-01,4587.722,
1997-04,887.951,
1997-07,-142.746,
1997-10,7643.605,
1998-01,-3246.024,
1998-04,3542.184,
1998-07,3765.586,
1998-10,-1283.440,
1999-01,3941.662,
1999-04,3920.944,
1999-07,2520.251,
1999-10,-1397.819,
2000-01,7342.047,
2000-04,1482.591,
2000-07,2408.787,
2000-10,20715.358,
2001-01,4219.547,
2001-04,7802.302,
2001-07,2282.431,
2001-10,-1855.429,
2002-01,8712.153,
2002-04,-818.687,
2002-07,2252.284,
2002-10,6725.960,
2003-01,11409.105,
2003-04,9181.117,
2003-07,-784.874,
2003-10,-1042.060,
2004-01,3437.513,
2004-04,1970.022,
2004-07,645.742,
2004-10,-1962.405,
2005-01,8668.702,
2005-04,-7421.795,
2005-07,5367.430,
2005-10,-1530.489,
2006-01,-1657.089,
2006-04,3894.237,
2006-07,-646.344,
2006-10,13677.231,
2007-01,-7087.224,
2007-04,11379.082,
2007-07,13619.062,
2007-10,32487.762,
2008-01,31412.681,
2008-04,-18041.170,
2008-07,10737.836,
2008-10,-7504.718,
2009-01,-7479.577,
2009-04,4878.941,
2009-07,-16260.353,
2009-10,-20071.093,
2010-01,-3154.653,
2010-04,17724.455,
2010-07,-15425.097,
2010-10,-2630.111,
2011-01,-5384.994,
2011-04,8152.518,
2011-07,2812.134,
2011-10,-1637.421,
2012-01,698.567,
2012-04,-6213.334,
2012-07,-8277.267,
2012-10,-14998.296,
2013-01,-2873.814,
2013-04,-5239.318,
2013-07,-5325.608,
2013-10,-5377.168,
2014-01,3791.885,Provisional value
2014-04,-826.252,Provisional value
2014-07,-3546.510,Provisional value
2014-10,-6600.372,Provisional value
