"",BBK01.OEBB05G,BBK01.OEBB05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:33,
2002-01,86.128,
2002-04,91.320,
2002-07,91.528,
2002-10,90.072,
2003-01,88.294,
2003-04,88.680,
2003-07,89.623,
2003-10,89.431,
2004-01,89.430,
2004-04,90.568,
2004-07,91.882,
2004-10,94.608,
2005-01,57.148,
2005-04,57.983,
2005-07,40.815,
2005-10,40.693,
2006-01,41.600,
2006-04,42.195,
2006-07,42.148,
2006-10,40.427,
2007-01,41.173,
2007-04,42.141,
2007-07,42.756,
2007-10,42.717,
2008-01,44.080,
2008-04,45.167,
2008-07,45.735,
2008-10,46.010,
2009-01,48.211,
2009-04,55.920,
2009-07,54.808,
2009-10,53.805,
2010-01,53.730,
2010-04,53.756,
2010-07,53.321,
2010-10,53.153,
2011-01,52.828,
2011-04,53.160,
2011-07,53.447,
2011-10,53.716,
2012-01,53.786,
2012-04,54.452,
2012-07,54.005,
2012-10,53.766,
2013-01,53.805,
2013-04,54.448,
2013-07,54.378,
2013-10,55.040,
2014-01,55.925,
2014-04,56.265,
2014-07,56.428,
