"",BBK01.OECK01L,BBK01.OECK01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:37,
2002-01,1.443,
2002-04,1.356,
2002-07,1.479,
2002-10,1.691,
2003-01,1.441,
2003-04,1.366,
2003-07,1.382,
2003-10,1.306,
2004-01,1.294,
2004-04,1.282,
2004-07,1.216,
2004-10,1.498,
2005-01,1.470,
2005-04,1.533,
2005-07,1.701,
2005-10,1.646,
2006-01,1.483,
2006-04,1.534,
2006-07,1.882,
2006-10,1.875,
2007-01,1.842,
2007-04,1.986,
2007-07,1.872,
2007-10,1.995,
2008-01,1.863,
2008-04,1.899,
2008-07,2.108,
2008-10,2.532,
2009-01,2.814,
2009-04,2.461,
2009-07,3.231,
2009-10,2.859,
2010-01,2.319,
2010-04,3.641,
2010-07,3.844,
2010-10,3.837,
2011-01,3.697,
2011-04,5.330,
2011-07,5.334,
2011-10,3.765,
2012-01,4.411,
2012-04,4.682,
2012-07,4.785,
2012-10,4.704,
2013-01,4.262,
2013-04,4.069,
2013-07,4.356,
2013-10,3.161,
2014-01,3.078,
2014-04,3.516,
2014-07,3.582,
