"",BBNZ1.Q.DE.N.G.0019.A,BBNZ1.Q.DE.N.G.0019.A_FLAGS
"",Germany / National accounts / Compensation of employees per hour worked by employees / Whole economy,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:56,
1991-01,52.74,
1991-04,62.28,
1991-07,60.00,
1991-10,70.15,
1992-01,58.41,
1992-04,67.53,
1992-07,66.49,
1992-10,76.15,
1993-01,63.40,
1993-04,72.37,
1993-07,69.25,
1993-10,79.71,
1994-01,66.37,
1994-04,74.55,
1994-07,71.10,
1994-10,82.37,
1995-01,68.35,
1995-04,78.64,
1995-07,74.84,
1995-10,85.35,
1996-01,71.29,
1996-04,79.69,
1996-07,75.92,
1996-10,87.56,
1997-01,74.16,
1997-04,80.54,
1997-07,76.74,
1997-10,88.13,
1998-01,73.92,
1998-04,83.08,
1998-07,78.48,
1998-10,88.82,
1999-01,75.39,
1999-04,85.16,
1999-07,80.80,
1999-10,90.54,
2000-01,76.99,
2000-04,87.64,
2000-07,83.55,
2000-10,94.62,
2001-01,79.44,
2001-04,89.82,
2001-07,85.10,
2001-10,96.70,
2002-01,81.88,
2002-04,90.76,
2002-07,86.53,
2002-10,98.31,
2003-01,83.37,
2003-04,93.49,
2003-07,88.32,
2003-10,99.39,
2004-01,84.29,
2004-04,94.68,
2004-07,89.08,
2004-10,98.37,
2005-01,87.07,
2005-04,94.38,
2005-07,89.44,
2005-10,99.24,
2006-01,84.33,
2006-04,95.17,
2006-07,89.92,
2006-10,99.00,
2007-01,84.61,
2007-04,95.72,
2007-07,90.39,
2007-10,100.23,
2008-01,87.23,
2008-04,96.65,
2008-07,92.51,
2008-10,104.28,
2009-01,90.98,
2009-04,102.99,
2009-07,96.26,
2009-10,106.33,
2010-01,93.38,
2010-04,103.55,
2010-07,97.00,
2010-10,106.08,
2011-01,93.86,
2011-04,106.40,
2011-07,99.30,
2011-10,110.46,
2012-01,96.14,
2012-04,111.08,
2012-07,103.44,
2012-10,114.88,
2013-01,100.96,
2013-04,112.95,
2013-07,104.93,
2013-10,117.38,
2014-01,101.79,
2014-04,115.59,
2014-07,107.14,
2014-10,119.28,
