"",BBK01.CEFEI3,BBK01.CEFEI3_FLAGS
"",short-term loans                                               debtor: Households (inkl.Org) creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:56,
1999-01,107.0,
1999-04,108.9,
1999-07,108.0,
1999-10,108.4,
2000-01,107.9,
2000-04,109.9,
2000-07,110.2,
2000-10,110.9,
2001-01,107.3,
2001-04,108.9,
2001-07,108.6,
2001-10,107.7,
2002-01,104.0,
2002-04,104.3,
2002-07,104.7,
2002-10,104.1,
2003-01,100.2,
2003-04,100.2,
2003-07,99.2,
2003-10,96.6,
2004-01,92.1,
2004-04,91.0,
2004-07,90.9,
2004-10,88.5,
2005-01,85.3,
2005-04,84.5,
2005-07,84.1,
2005-10,83.3,
2006-01,80.9,
2006-04,80.6,
2006-07,80.4,
2006-10,77.7,
2007-01,76.1,
2007-04,76.6,
2007-07,75.0,
2007-10,75.7,
2008-01,74.6,
2008-04,74.4,
2008-07,74.9,
2008-10,76.1,
2009-01,75.7,
2009-04,75.4,
2009-07,75.0,
2009-10,72.7,
2010-01,72.3,
2010-04,74.5,
2010-07,73.8,
2010-10,71.9,
2011-01,71.0,
2011-04,71.8,
2011-07,71.0,
2011-10,69.9,
2012-01,69.5,
2012-04,69.9,
2012-07,69.0,
2012-10,68.8,
2013-01,67.0,
2013-04,66.7,
2013-07,66.4,
2013-10,65.0,
2014-01,64.3,
2014-04,64.6,
2014-07,63.4,
