"",BBK01.OELI01L,BBK01.OELI01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:28,
2002-01,38.247,
2002-04,38.148,
2002-07,38.055,
2002-10,39.012,
2003-01,38.874,
2003-04,38.773,
2003-07,38.819,
2003-10,39.498,
2004-01,39.391,
2004-04,39.381,
2004-07,39.274,
2004-10,39.909,
2005-01,39.655,
2005-04,39.945,
2005-07,39.795,
2005-10,40.508,
2006-01,40.137,
2006-04,40.334,
2006-07,40.373,
2006-10,40.897,
2007-01,40.601,
2007-04,40.797,
2007-07,41.180,
2007-10,42.257,
2008-01,41.777,
2008-04,41.550,
2008-07,41.297,
2008-10,43.122,
2009-01,43.310,
2009-04,43.704,
2009-07,44.155,
2009-10,44.827,
2010-01,45.509,
2010-04,46.061,
2010-07,46.302,
2010-10,46.862,
2011-01,46.770,
2011-04,47.133,
2011-07,47.270,
2011-10,48.030,
2012-01,47.539,
2012-04,47.714,
2012-07,47.997,
2012-10,48.966,
2013-01,49.110,
2013-04,49.532,
2013-07,49.778,
2013-10,50.257,
2014-01,50.657,
2014-04,51.244,
2014-07,51.400,
