"",BBK01.OEAD03P,BBK01.OEAD03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:56,
2002-01,0.060,
2002-04,0.056,
2002-07,0.055,
2002-10,0.047,
2003-01,0.045,
2003-04,0.043,
2003-07,0.041,
2003-10,0.042,
2004-01,0.042,
2004-04,0.040,
2004-07,0.036,
2004-10,0.037,
2005-01,0.041,
2005-04,0.043,
2005-07,0.036,
2005-10,0.034,
2006-01,0.032,
2006-04,0.036,
2006-07,0.033,
2006-10,0.033,
2007-01,0.036,
2007-04,0.037,
2007-07,0.039,
2007-10,0.039,
2008-01,0.053,
2008-04,0.056,
2008-07,0.052,
2008-10,0.057,
2009-01,0.052,
2009-04,0.047,
2009-07,0.048,
2009-10,0.046,
2010-01,0.041,
2010-04,0.051,
2010-07,0.050,
2010-10,0.043,
2011-01,0.046,
2011-04,0.040,
2011-07,0.039,
2011-10,0.036,
2012-01,0.033,
2012-04,0.035,
2012-07,0.038,
2012-10,0.036,
2013-01,0.045,
2013-04,0.041,
2013-07,0.039,
2013-10,0.038,
2014-01,0.036,
2014-04,0.037,
2014-07,0.039,
