"",BBK01.OEBJ05P,BBK01.OEBJ05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:33,
2002-01,0.037,
2002-04,0.025,
2002-07,0.036,
2002-10,0.023,
2003-01,0.023,
2003-04,0.023,
2003-07,0.051,
2003-10,0.045,
2004-01,0.045,
2004-04,0.044,
2004-07,0.047,
2004-10,0.014,
2005-01,0.043,
2005-04,0.039,
2005-07,0.054,
2005-10,0.054,
2006-01,0.064,
2006-04,0.074,
2006-07,0.074,
2006-10,0.099,
2007-01,0.109,
2007-04,0.109,
2007-07,0.120,
2007-10,0.128,
2008-01,0.120,
2008-04,0.122,
2008-07,0.117,
2008-10,0.118,
2009-01,0.119,
2009-04,0.128,
2009-07,0.129,
2009-10,0.130,
2010-01,0.130,
2010-04,0.131,
2010-07,0.131,
2010-10,0.131,
2011-01,0.141,
2011-04,0.130,
2011-07,0.118,
2011-10,0.118,
2012-01,0.124,
2012-04,0.124,
2012-07,0.116,
2012-10,0.115,
2013-01,0.115,
2013-04,0.112,
2013-07,0.110,
2013-10,0.106,
2014-01,0.102,
2014-04,0.127,
2014-07,0.126,
