"",BBK01.OEXM01G,BBK01.OEXM01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:28,
2002-01,1.423,
2002-04,1.907,
2002-07,2.057,
2002-10,1.999,
2003-01,1.649,
2003-04,1.752,
2003-07,1.702,
2003-10,2.116,
2004-01,1.616,
2004-04,1.983,
2004-07,1.791,
2004-10,1.310,
2005-01,1.224,
2005-04,0.952,
2005-07,0.353,
2005-10,0.634,
2006-01,0.646,
2006-04,0.519,
2006-07,0.353,
2006-10,0.494,
2007-01,0.448,
2007-04,0.402,
2007-07,0.372,
2007-10,0.433,
2008-01,0.295,
2008-04,0.287,
2008-07,0.322,
2008-10,0.574,
2009-01,0.467,
2009-04,0.453,
2009-07,0.360,
2009-10,0.336,
2010-01,0.289,
2010-04,0.259,
2010-07,0.696,
2010-10,0.314,
2011-01,0.461,
2011-04,0.658,
2011-07,0.508,
2011-10,0.545,
2012-01,0.788,
2012-04,1.040,
2012-07,0.966,
2012-10,1.095,
2013-01,0.809,
2013-04,0.914,
2013-07,0.920,
2013-10,0.902,
2014-01,1.101,
2014-04,1.100,
2014-07,1.304,
