"",BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:53,
1991-01,379.338,
1991-04,-464.754,
1991-07,169.751,
1991-10,165.077,
1992-01,1858.877,
1992-04,-549.528,
1992-07,263.947,
1992-10,1755.505,
1993-01,-724.599,
1993-04,332.079,
1993-07,718.216,
1993-10,2083.690,
1994-01,-2366.625,
1994-04,1567.672,
1994-07,-790.593,
1994-10,1490.783,
1995-01,-1456.116,
1995-04,549.460,
1995-07,508.903,
1995-10,-1184.576,
1996-01,-827.385,
1996-04,-749.505,
1996-07,786.926,
1996-10,948.497,
1997-01,1258.072,
1997-04,1352.075,
1997-07,1170.374,
1997-10,-367.905,
1998-01,2341.101,
1998-04,-169.984,
1998-07,1748.979,
1998-10,5427.585,
1999-01,-3240.050,
1999-04,-1003.303,
1999-07,2197.334,
1999-10,2817.425,
2000-01,-880.411,
2000-04,3484.457,
2000-07,-2073.970,
2000-10,4254.458,
2001-01,1484.857,
2001-04,-893.767,
2001-07,2713.694,
2001-10,1610.778,
2002-01,1398.435,
2002-04,7522.577,
2002-07,7577.994,
2002-10,-7187.191,
2003-01,3769.198,
2003-04,-410.052,
2003-07,-4319.070,
2003-10,1649.528,
2004-01,-2852.016,
2004-04,-4271.410,
2004-07,2339.944,
2004-10,1170.510,
2005-01,1207.831,
2005-04,15948.139,
2005-07,1958.007,
2005-10,9896.219,
2006-01,-12241.661,
2006-04,7374.389,
2006-07,6745.031,
2006-10,428.170,
2007-01,4860.172,
2007-04,-664.318,
2007-07,27705.112,
2007-10,5594.966,
2008-01,-15546.532,
2008-04,4.846,
2008-07,7036.974,
2008-10,-1941.513,
2009-01,-5949.695,
2009-04,9647.808,
2009-07,-4450.731,
2009-10,10096.111,
2010-01,-12605.873,
2010-04,-13549.577,
2010-07,-1968.482,
2010-10,6993.579,
2011-01,-5782.215,
2011-04,1136.129,
2011-07,10722.540,
2011-10,-3371.614,
2012-01,4403.690,
2012-04,-5716.636,
2012-07,9456.038,
2012-10,23943.645,
2013-01,-6253.254,
2013-04,-2684.557,
2013-07,-6879.189,
2013-10,521.732,
2014-01,6862.546,Provisional value
2014-04,20938.244,Provisional value
2014-07,12123.835,Provisional value
2014-10,54476.060,Provisional value
