"",BBK01.OECL08V,BBK01.OECL08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:11,
2002-01,1.072,
2002-04,0.732,
2002-07,0.735,
2002-10,0.804,
2003-01,0.806,
2003-04,0.769,
2003-07,0.813,
2003-10,0.811,
2004-01,0.782,
2004-04,1.214,
2004-07,1.302,
2004-10,1.337,
2005-01,2.732,
2005-04,2.701,
2005-07,2.659,
2005-10,2.610,
2006-01,2.570,
2006-04,2.506,
2006-07,2.429,
2006-10,2.400,
2007-01,2.405,
2007-04,2.353,
2007-07,2.297,
2007-10,2.314,
2008-01,2.270,
2008-04,2.291,
2008-07,2.213,
2008-10,2.188,
2009-01,2.201,
2009-04,2.256,
2009-07,2.316,
2009-10,2.381,
2010-01,2.402,
2010-04,2.369,
2010-07,2.387,
2010-10,2.398,
2011-01,2.357,
2011-04,2.343,
2011-07,2.343,
2011-10,2.351,
2012-01,2.563,
2012-04,2.537,
2012-07,2.554,
2012-10,2.636,
2013-01,2.600,
2013-04,2.574,
2013-07,2.546,
2013-10,2.579,
2014-01,2.564,
2014-04,2.531,
2014-07,2.552,
