"",BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:05,
1991-01,4.037,
1991-04,371.174,
1991-07,278.434,
1991-10,-77.237,
1992-01,446.775,
1992-04,-297.572,
1992-07,-0.672,
1992-10,365.756,
1993-01,233.459,
1993-04,143.886,
1993-07,-222.545,
1993-10,248.789,
1994-01,470.256,
1994-04,-246.367,
1994-07,80.083,
1994-10,-155.683,
1995-01,118.379,
1995-04,27.135,
1995-07,96.969,
1995-10,269.532,
1996-01,-122.926,
1996-04,330.861,
1996-07,311.669,
1996-10,108.542,
1997-01,5.855,
1997-04,871.308,
1997-07,1030.304,
1997-10,-193.465,
1998-01,223.844,
1998-04,-410.233,
1998-07,191.313,
1998-10,-111.628,
1999-01,617.436,
1999-04,318.870,
1999-07,483.566,
1999-10,-125.058,
2000-01,926.440,
2000-04,93.974,
2000-07,908.653,
2000-10,252.248,
2001-01,-278.619,
2001-04,130.390,
2001-07,-431.242,
2001-10,505.843,
2002-01,-293.255,
2002-04,-109.130,
2002-07,637.649,
2002-10,-765.344,
2003-01,1125.261,
2003-04,439.300,
2003-07,-437.341,
2003-10,461.156,
2004-01,378.326,
2004-04,965.036,
2004-07,394.008,
2004-10,1332.086,
2005-01,1388.452,
2005-04,899.357,
2005-07,1575.188,
2005-10,3888.038,
2006-01,2539.374,
2006-04,-412.214,
2006-07,-93.345,
2006-10,3533.178,
2007-01,-295.287,
2007-04,-543.144,
2007-07,2486.128,
2007-10,-1088.192,
2008-01,-818.765,
2008-04,1276.602,
2008-07,1796.665,
2008-10,-7900.487,
2009-01,-2412.628,
2009-04,546.436,
2009-07,528.922,
2009-10,815.482,
2010-01,1565.908,
2010-04,2244.480,
2010-07,952.874,
2010-10,578.022,
2011-01,-301.092,
2011-04,78.998,
2011-07,615.968,
2011-10,-1848.065,
2012-01,985.349,
2012-04,-111.596,
2012-07,-728.148,
2012-10,-1102.200,
2013-01,1464.396,
2013-04,-53.177,
2013-07,-828.601,
2013-10,-5799.705,
2014-01,-1463.231,Provisional value
2014-04,-890.928,Provisional value
2014-07,816.668,Provisional value
2014-10,-1265.735,Provisional value
