"",BBK01.OEHB01S,BBK01.OEHB01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:09,
2002-01,6.780,
2002-04,6.793,
2002-07,6.887,
2002-10,6.931,
2003-01,6.778,
2003-04,6.820,
2003-07,6.856,
2003-10,6.976,
2004-01,6.826,
2004-04,6.852,
2004-07,6.915,
2004-10,6.965,
2005-01,6.925,
2005-04,6.802,
2005-07,6.867,
2005-10,6.853,
2006-01,6.799,
2006-04,6.829,
2006-07,6.837,
2006-10,6.840,
2007-01,6.894,
2007-04,6.839,
2007-07,6.691,
2007-10,6.659,
2008-01,6.634,
2008-04,6.709,
2008-07,6.803,
2008-10,6.789,
2009-01,6.795,
2009-04,6.964,
2009-07,7.024,
2009-10,6.966,
2010-01,7.109,
2010-04,7.525,
2010-07,7.744,
2010-10,7.862,
2011-01,8.021,
2011-04,8.219,
2011-07,8.325,
2011-10,8.494,
2012-01,8.606,
2012-04,8.695,
2012-07,8.938,
2012-10,9.048,
2013-01,9.178,
2013-04,9.281,
2013-07,9.455,
2013-10,9.593,
2014-01,9.707,
2014-04,9.864,
2014-07,10.051,
