"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.GR.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.GR.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Greece,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:03,
2009-09,7619,
2009-10,7947,
2009-11,7929,
2009-12,7768,
2010-01,7157,
2010-02,7388,
2010-03,7880,
2010-04,5850,
2010-05,5201,
2010-06,4116,
2010-07,3994,
2010-08,3780,
2010-09,3995,
2010-10,3993,
2010-11,3621,
2010-12,3512,
2011-01,3587,
2011-02,3498,
2011-03,3248,
2011-04,2557,
2011-05,2263,
2011-06,2097,
2011-07,2135,
2011-08,1810,
2011-09,1430,
2011-10,1420,
2011-11,985,
2011-12,974,
2012-01,919,
2012-02,819,
2012-03,268,
2012-04,227,
2012-05,102,
2012-06,98,
2012-07,94,
2012-08,98,
2012-09,102,
2012-10,128,
2012-11,135,
2012-12,76,
2013-01,86,
2013-02,99,
2013-03,88,
2013-04,98,
2013-05,101,
2013-06,98,
2013-07,105,
2013-08,98,
2013-09,112,
2013-10,129,
2013-11,130,
2013-12,131,
2014-01,128,
2014-02,152,
2014-03,156,
2014-04,165,
2014-05,215,
2014-06,212,
2014-07,173,
2014-08,164,
2014-09,148,
2014-10,127,
2014-11,132,
