"",BBK01.OELI06G,BBK01.OELI06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:57,
2002-01,5.012,
2002-04,4.928,
2002-07,4.942,
2002-10,4.845,
2003-01,4.593,
2003-04,4.380,
2003-07,4.179,
2003-10,4.024,
2004-01,3.742,
2004-04,3.596,
2004-07,3.527,
2004-10,3.411,
2005-01,3.238,
2005-04,3.155,
2005-07,3.084,
2005-10,3.064,
2006-01,2.975,
2006-04,2.963,
2006-07,2.876,
2006-10,3.004,
2007-01,3.042,
2007-04,3.079,
2007-07,3.252,
2007-10,3.497,
2008-01,3.372,
2008-04,3.274,
2008-07,3.232,
2008-10,3.402,
2009-01,3.141,
2009-04,2.862,
2009-07,2.526,
2009-10,2.419,
2010-01,2.311,
2010-04,2.162,
2010-07,2.093,
2010-10,2.140,
2011-01,2.115,
2011-04,2.211,
2011-07,2.224,
2011-10,2.266,
2012-01,2.268,
2012-04,2.207,
2012-07,2.100,
2012-10,2.010,
2013-01,1.728,
2013-04,1.515,
2013-07,1.416,
2013-10,1.371,
2014-01,1.278,
2014-04,1.176,
2014-07,1.120,
