"",BBSF2.M.1.S.00000.REN01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:43,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,36163,
1993-05,36664,
1993-06,37408,
1993-07,39012,
1993-08,41417,
1993-09,42276,
1993-10,43412,
1993-11,44109,
1993-12,45074,
1994-01,45533,
1994-02,45727,
1994-03,46202,
1994-04,46513,
1994-05,46455,
1994-06,47946,
1994-07,49128,
1994-08,49362,
1994-09,49307,
1994-10,49499,
1994-11,50802,
1994-12,50431,
1995-01,50764,
1995-02,51626,
1995-03,53480,
1995-04,54318,
1995-05,55583,
1995-06,55431,
1995-07,56940,
1995-08,57652,
1995-09,58102,
1995-10,58883,
1995-11,59689,
1995-12,60874,
1996-01,62832,
1996-02,62760,
1996-03,63821,
1996-04,65125,
1996-05,65776,
1996-06,66066,
1996-07,67014,
1996-08,67935,
1996-09,68865,
1996-10,70478,
1996-11,71791,
1996-12,72184,
1997-01,74100,
1997-02,75728,
1997-03,76713,
1997-04,78613,
1997-05,79208,
1997-06,82713,
1997-07,84039,
1997-08,84192,
1997-09,84246,
1997-10,82348,
1997-11,83290,
1997-12,85748,
1998-01,87743,
1998-02,89653,
1998-03,90975,
1998-04,90975,
1998-05,93791,
1998-06,95467,
1998-07,97144,
1998-08,99249,
1998-09,99841,
1998-10,101241,
1998-11,102125,
1998-12,104597,
1999-01,108265,
1999-02,108410,
1999-03,108898,
1999-04,113480,
1999-05,114599,
1999-06,112652,
1999-07,111923,
1999-08,111640,
1999-09,111527,
1999-10,112380,
1999-11,115344,
1999-12,121908,
2000-01,121755,
2000-02,124415,
2000-03,124281,
2000-04,126180,
2000-05,126351,
2000-06,126425,
2000-07,127679,
2000-08,129445,
2000-09,130061,
2000-10,131510,
2000-11,130911,
2000-12,132334,
2001-01,136336,
2001-02,136461,
2001-03,137137,
2001-04,136866,
2001-05,135535,
2001-06,136574,
2001-07,138436,
2001-08,138709,
2001-09,138898,
2001-10,142219,
2001-11,141856,
2001-12,144825,
2002-01,145113,
2002-02,146438,
2002-03,145433,
2002-04,146674,
2002-05,147508,
2002-06,146688,
2002-07,146059,
2002-08,150314,
2002-09,151817,
2002-10,152825,
2002-11,153007,
2002-12,151443,
2003-01,152985,
2003-02,155303,
2003-03,152848,
2003-04,154274,
2003-05,156302,
2003-06,157048,
2003-07,156410,
2003-08,157279,
2003-09,158196,
2003-10,154210,
2003-11,154261,
2003-12,150302,
2004-01,149481,
2004-02,149855,
2004-03,150310,
2004-04,149936,
2004-05,147374,
2004-06,147383,
2004-07,148679,
2004-08,149414,
2004-09,149465,
2004-10,150860,
2004-11,153019,
2004-12,155316,
2005-01,157839,
2005-02,157017,
2005-03,155856,
2005-04,156734,
2005-05,159977,
2005-06,161567,
2005-07,163097,
2005-08,163038,
2005-09,162998,
2005-10,160185,
2005-11,159728,
2005-12,159335,
2006-01,156751,
2006-02,156130,
2006-03,155491,
2006-04,154954,
2006-05,154869,
2006-06,154579,
2006-07,155260,
2006-08,157511,
2006-09,167824,
2006-10,168715,
2006-11,170163,
2006-12,166823,
2007-01,170093,
2007-02,173252,
2007-03,173927,
2007-04,177693,
2007-05,174324,
2007-06,173810,
2007-07,174725,
2007-08,175549,
2007-09,175519,
2007-10,177806,
2007-11,172575,
2007-12,177549,
2008-01,178677,
2008-02,178820,
2008-03,176978,
2008-04,178886,
2008-05,178308,
2008-06,174223,
2008-07,175560,
2008-08,178118,
2008-09,177089,
2008-10,173863,
2008-11,177261,
2008-12,177974,
2009-01,179340,
2009-02,179492,
2009-03,181879,
2009-04,183522,
2009-05,202262,
2009-06,205385,
2009-07,217926,
2009-08,222691,
2009-09,225944,
2009-10,225053,
2009-11,228606,
2009-12,231830,
2010-01,237765,
2010-02,241371,
2010-03,245460,
2010-04,247693,
2010-05,250370,
2010-06,250082,
2010-07,250520,
2010-08,259439,
2010-09,261188,
2010-10,263675,
2010-11,262015,
2010-12,258659,
2011-01,258109,
2011-02,260351,
2011-03,258406,
2011-04,256677,
2011-05,257827,
2011-06,257195,
2011-07,259469,
2011-08,260733,
2011-09,259327,
2011-10,262130,
2011-11,258176,
2011-12,268362,
2012-01,275473,
2012-02,281183,
2012-03,284511,
2012-04,285309,
2012-05,292102,
2012-06,293558,
2012-07,303231,
2012-08,308020,
2012-09,309507,
2012-10,313739,
2012-11,317493,
2012-12,321335,
2013-01,319402,
2013-02,320976,
2013-03,325124,
2013-04,330683,
2013-05,326751,
2013-06,318374,
2013-07,322314,
2013-08,319719,
2013-09,322874,
2013-10,327948,
2013-11,333551,
2013-12,333158,
2014-01,338721,
2014-02,343554,
2014-03,352289,
2014-04,350642,
2014-05,358216,
2014-06,361991,
2014-07,367171,
2014-08,376398,
2014-09,376462,
2014-10,380095,
2014-11,384251,
