"",BBFB1.Q.N.DE.W03100.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:29,
1991-01,-1219.047,
1991-04,-1229.040,
1991-07,-582.085,
1991-10,1246.039,
1992-01,152.623,
1992-04,439.405,
1992-07,718.091,
1992-10,1126.474,
1993-01,1258.219,
1993-04,1297.805,
1993-07,849.382,
1993-10,2681.285,
1994-01,1035.779,
1994-04,2878.352,
1994-07,1532.534,
1994-10,2475.169,
1995-01,2244.411,
1995-04,1707.730,
1995-07,1334.483,
1995-10,3397.612,
1996-01,1448.875,
1996-04,2318.926,
1996-07,3171.308,
1996-10,4961.327,
1997-01,1112.660,
1997-04,3448.294,
1997-07,4401.227,
1997-10,5192.237,
1998-01,2036.839,
1998-04,2783.701,
1998-07,2662.221,
1998-10,1612.805,
1999-01,-1341.511,
1999-04,993.635,
1999-07,-110.991,
1999-10,50.311,
2000-01,-3730.645,
2000-04,-2808.578,
2000-07,-3140.482,
2000-10,-4084.440,
2001-01,-1952.842,
2001-04,1520.271,
2001-07,1214.375,
2001-10,2163.663,
2002-01,2446.354,
2002-04,4085.591,
2002-07,4244.462,
2002-10,2970.732,
2003-01,355.206,
2003-04,3061.917,
2003-07,4822.973,
2003-10,407.680,
2004-01,4225.916,
2004-04,5060.776,
2004-07,1027.532,
2004-10,-1465.298,
2005-01,1702.845,
2005-04,282.140,
2005-07,1908.400,
2005-10,-2604.310,
2006-01,-3041.835,
2006-04,-2044.192,
2006-07,1232.795,
2006-10,4637.234,
2007-01,765.626,
2007-04,4147.287,
2007-07,4830.469,
2007-10,2735.112,
2008-01,2093.049,
2008-04,7112.356,
2008-07,1945.048,
2008-10,5428.429,
2009-01,1964.710,
2009-04,5162.115,
2009-07,4432.090,
2009-10,8671.168,
2010-01,4651.600,
2010-04,3950.762,
2010-07,6132.405,
2010-10,7403.619,
2011-01,4256.894,
2011-04,6045.962,
2011-07,5072.488,
2011-10,8348.447,
2012-01,7589.796,
2012-04,15135.442,
2012-07,13870.069,
2012-10,12480.577,
2013-01,9308.471,
2013-04,15332.210,
2013-07,11350.497,
2013-10,15884.982,
2014-01,9889.434,Provisional value
2014-04,16137.779,Provisional value
2014-07,14621.800,Provisional value
