"",BBK01.OEYK01V,BBK01.OEYK01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:50,
2002-01,0.018,
2002-04,0.012,
2002-07,0.015,
2002-10,0.011,
2003-01,0.011,
2003-04,0.005,
2003-07,0.002,
2003-10,0.006,
2004-01,0.003,
2004-04,0.005,
2004-07,0.005,
2004-10,0.006,
2005-01,0.008,
2005-04,0.007,
2005-07,0.122,
2005-10,0.133,
2006-01,0.136,
2006-04,0.140,
2006-07,0.146,
2006-10,0.143,
2007-01,0.163,
2007-04,0.161,
2007-07,0.165,
2007-10,0.176,
2008-01,0.173,
2008-04,0.187,
2008-07,0.204,
2008-10,0.227,
2009-01,0.229,
2009-04,0.234,
2009-07,0.237,
2009-10,0.232,
2010-01,0.224,
2010-04,0.229,
2010-07,0.215,
2010-10,0.229,
2011-01,0.287,
2011-04,0.290,
2011-07,0.238,
2011-10,0.235,
2012-01,0.290,
2012-04,0.330,
2012-07,0.290,
2012-10,0.325,
2013-01,0.352,
2013-04,0.349,
2013-07,0.368,
2013-10,0.381,
2014-01,0.391,
2014-04,0.391,
2014-07,0.401,
