"",BBK01.CEH301,BBK01.CEH301_FLAGS
"",Securities other than shares debtor: All sectors                     creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:20,
1991-01,6.5,
1991-04,-0.8,
1991-07,3.5,
1991-10,3.8,
1992-01,9.8,
1992-04,1.8,
1992-07,-0.1,
1992-10,-4.5,
1993-01,0.8,
1993-04,9.4,
1993-07,-0.9,
1993-10,-5.8,
1994-01,2.4,
1994-04,2.4,
1994-07,8.4,
1994-10,20.7,
1995-01,-5.0,
1995-04,2.0,
1995-07,4.5,
1995-10,-8.8,
1996-01,1.9,
1996-04,-2.0,
1996-07,-7.2,
1996-10,-7.1,
1997-01,-9.6,
1997-04,2.8,
1997-07,-2.9,
1997-10,3.8,
1998-01,10.4,
1998-04,-11.9,
1998-07,-6.2,
1998-10,9.9,
1999-01,24.0,
1999-04,-8.2,
1999-07,-4.9,
1999-10,27.9,
2000-01,4.2,
2000-04,-3.2,
2000-07,20.0,
2000-10,34.9,
2001-01,20.2,
2001-04,2.7,
2001-07,7.8,
2001-10,-6.1,
2002-01,12.1,
2002-04,-26.2,
2002-07,-1.0,
2002-10,-34.8,
2003-01,-7.4,
2003-04,-2.2,
2003-07,-8.3,
2003-10,-22.5,
2004-01,-13.2,
2004-04,-5.4,
2004-07,-17.9,
2004-10,-10.6,
2005-01,-8.1,
2005-04,16.6,
2005-07,-16.6,
2005-10,-5.4,
2006-01,2.3,
2006-04,1.1,
2006-07,6.6,
2006-10,-3.7,
2007-01,9.0,
2007-04,6.1,
2007-07,19.8,
2007-10,11.3,
2008-01,10.5,
2008-04,8.0,
2008-07,-1.9,
2008-10,-0.3,
2009-01,-3.8,
2009-04,-0.8,
2009-07,3.4,
2009-10,0.5,
2010-01,1.6,
2010-04,3.7,
2010-07,5.7,
2010-10,16.7,
2011-01,8.5,
2011-04,1.3,
2011-07,4.8,
2011-10,5.0,
2012-01,0.0,
2012-04,3.9,
2012-07,1.6,
2012-10,1.2,
2013-01,2.7,
2013-04,0.8,
2013-07,1.9,
2013-10,1.2,
2014-01,3.9,
