"",BBSF2.M.1.S.I0000.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Domestic investors total / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:34,
1993-04,-518,
1993-05,916,
1993-06,949,
1993-07,1720,
1993-08,2174,
1993-09,1018,
1993-10,1969,
1993-11,1299,
1993-12,3987,
1994-01,2960,
1994-02,2466,
1994-03,1911,
1994-04,3351,
1994-05,1208,
1994-06,2672,
1994-07,1789,
1994-08,1260,
1994-09,-5,
1994-10,1822,
1994-11,278,
1994-12,3617,
1995-01,2263,
1995-02,1742,
1995-03,1895,
1995-04,778,
1995-05,460,
1995-06,458,
1995-07,1491,
1995-08,392,
1995-09,1861,
1995-10,330,
1995-11,1718,
1995-12,5757,
1996-01,4456,
1996-02,3642,
1996-03,2423,
1996-04,1964,
1996-05,1462,
1996-06,2227,
1996-07,2084,
1996-08,1468,
1996-09,357,
1996-10,3432,
1996-11,2064,
1996-12,6333,
1997-01,5359,
1997-02,4665,
1997-03,3845,
1997-04,3453,
1997-05,1475,
1997-06,6301,
1997-07,4303,
1997-08,4827,
1997-09,3172,
1997-10,4240,
1997-11,1220,
1997-12,11756,
1998-01,7955,
1998-02,4878,
1998-03,5245,
1998-04,4003,
1998-05,4541,
1998-06,3217,
1998-07,5879,
1998-08,6194,
1998-09,4455,
1998-10,4058,
1998-11,2676,
1998-12,12776,
1999-01,7350,
1999-02,4077,
1999-03,3300,
1999-04,5688,
1999-05,5762,
1999-06,3296,
1999-07,3073,
1999-08,3394,
1999-09,1123,
1999-10,3296,
1999-11,3228,
1999-12,15789,
2000-01,7743,
2000-02,-298,
2000-03,2858,
2000-04,3672,
2000-05,4183,
2000-06,604,
2000-07,3373,
2000-08,2737,
2000-09,3397,
2000-10,2795,
2000-11,832,
2000-12,14091,
2001-01,8467,
2001-02,3215,
2001-03,638,
2001-04,1615,
2001-05,-231,
2001-06,1496,
2001-07,3690,
2001-08,1730,
2001-09,571,
2001-10,3648,
2001-11,904,
2001-12,15565,
2002-01,4379,
2002-02,2338,
2002-03,-1732,
2002-04,6185,
2002-05,2465,
2002-06,2432,
2002-07,1840,
2002-08,3288,
2002-09,2333,
2002-10,5384,
2002-11,2380,
2002-12,2154,
2003-01,4366,
2003-02,1262,
2003-03,2107,
2003-04,2369,
2003-05,3042,
2003-06,1465,
2003-07,99,
2003-08,799,
2003-09,3265,
2003-10,257,
2003-11,775,
2003-12,4064,
2004-01,1445,
2004-02,-35,
2004-03,1332,
2004-04,1178,
2004-05,-1573,
2004-06,423,
2004-07,-2067,
2004-08,-402,
2004-09,-2415,
2004-10,239,
2004-11,998,
2004-12,6010,
2005-01,3824,
2005-02,2135,
2005-03,2842,
2005-04,888,
2005-05,1188,
2005-06,4075,
2005-07,3203,
2005-08,2135,
2005-09,879,
2005-10,3127,
2005-11,1380,
2005-12,9245,
2006-01,4544,
2006-02,3137,
2006-03,3606,
2006-04,3405,
2006-05,4249,
2006-06,2043,
2006-07,560,
2006-08,220,
2006-09,4968,
2006-10,-440,
2006-11,1276,
2006-12,5991,
2007-01,5862,
2007-02,3592,
2007-03,2569,
2007-04,3888,
2007-05,-3394,
2007-06,1186,
2007-07,403,
2007-08,241,
2007-09,-1773,
2007-10,3001,
2007-11,-1778,
2007-12,8003,
2008-01,-6498,
2008-02,386,
2008-03,2282,
2008-04,1995,
2008-05,2564,
2008-06,-1960,
2008-07,1396,
2008-08,2444,
2008-09,3475,
2008-10,-4675,
2008-11,7273,
2008-12,-3695,
2009-01,5484,
2009-02,-2091,
2009-03,2442,
2009-04,-997,
2009-05,-1540,
2009-06,-2317,
2009-07,3114,
2009-08,729,
2009-09,8175,
2009-10,6724,
2009-11,2312,
2009-12,10364,
2010-01,7276,
2010-02,2821,
2010-03,3822,
2010-04,7207,
2010-05,3521,
2010-06,3150,
2010-07,4983,
2010-08,8397,
2010-09,6778,
2010-10,7446,
2010-11,6212,
2010-12,9542,
2011-01,5402,
2011-02,6476,
2011-03,2253,
2011-04,2632,
2011-05,-1271,
2011-06,2666,
2011-07,3617,
2011-08,1193,
2011-09,826,
2011-10,4789,
2011-11,6682,
2011-12,10946,
2012-01,3322,
2012-02,13914,
2012-03,4335,
2012-04,2675,
2012-05,2251,
2012-06,10492,
2012-07,13801,
2012-08,3906,
2012-09,3363,
2012-10,6148,
2012-11,4706,
2012-12,18418,
2013-01,10393,
2013-02,5822,
2013-03,8221,
2013-04,6927,
2013-05,1676,
2013-06,4257,
2013-07,8967,
2013-08,2858,
2013-09,3647,
2013-10,4044,
2013-11,11713,
2013-12,13338,
2014-01,3860,
2014-02,6353,
2014-03,10524,
2014-04,2536,
2014-05,5243,
2014-06,3894,
2014-07,7154,
2014-08,7079,
2014-09,6374,
2014-10,8439,
2014-11,13037,
