"",BBSF2.M.1.P.00000.TOT01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.TOT01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Public funds / Funds total / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:51,
2009-09,31043,
2009-10,31255,
2009-11,32124,
2009-12,32026,
2010-01,32630,
2010-02,33363,
2010-03,34058,
2010-04,32838,
2010-05,33165,
2010-06,33240,
2010-07,34281,
2010-08,34386,
2010-09,34339,
2010-10,33995,
2010-11,32439,
2010-12,31617,
2011-01,32086,
2011-02,32596,
2011-03,32370,
2011-04,32065,
2011-05,31850,
2011-06,31394,
2011-07,30815,
2011-08,29885,
2011-09,29086,
2011-10,28623,
2011-11,26885,
2011-12,27204,
2012-01,28194,
2012-02,29110,
2012-03,29043,
2012-04,28991,
2012-05,28998,
2012-06,29250,
2012-07,30108,
2012-08,31233,
2012-09,32532,
2012-10,33357,
2012-11,34850,
2012-12,35395,
2013-01,36489,
2013-02,36688,
2013-03,36947,
2013-04,37713,
2013-05,37633,
2013-06,36511,
2013-07,37436,
2013-08,37071,
2013-09,37840,
2013-10,38165,
2013-11,38911,
2013-12,39496,
2014-01,41139,
2014-02,42116,
2014-03,42743,
2014-04,43449,
2014-05,44252,
2014-06,44217,
2014-07,44151,
2014-08,44769,
2014-09,44838,
2014-10,45505,
2014-11,47142,
