"",BBK01.OEAF26Q,BBK01.OEAF26Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:30,
2002-01,0.525,
2002-04,0.496,
2002-07,0.475,
2002-10,0.445,
2003-01,0.429,
2003-04,0.415,
2003-07,0.406,
2003-10,0.347,
2004-01,0.339,
2004-04,0.353,
2004-07,0.342,
2004-10,0.318,
2005-01,0.308,
2005-04,0.309,
2005-07,0.289,
2005-10,0.283,
2006-01,0.276,
2006-04,0.290,
2006-07,0.295,
2006-10,0.292,
2007-01,0.294,
2007-04,0.298,
2007-07,0.287,
2007-10,0.279,
2008-01,0.277,
2008-04,0.277,
2008-07,0.275,
2008-10,0.263,
2009-01,0.278,
2009-04,0.273,
2009-07,0.276,
2009-10,0.271,
2010-01,0.268,
2010-04,0.277,
2010-07,0.251,
2010-10,0.249,
2011-01,0.258,
2011-04,0.261,
2011-07,0.257,
2011-10,0.236,
2012-01,0.236,
2012-04,0.243,
2012-07,0.243,
2012-10,0.239,
2013-01,0.244,
2013-04,0.245,
2013-07,0.257,
2013-10,0.255,
2014-01,0.255,
2014-04,0.261,
2014-07,0.262,
